analysis_set	metric	n_AC	n_TOL	mean_AC	mean_TOL	median_AC	median_TOL	delta_mean_TOL_minus_AC	bootstrap_delta_mean_TOL_minus_AC_median	bootstrap_delta_mean_TOL_minus_AC_ci95_low	bootstrap_delta_mean_TOL_minus_AC_ci95_high	empirical_permutation_p_one_sided_TOL_gt_AC	empirical_permutation_p_two_sided	mannwhitney_p_two_sided	welch_t_p_two_sided	cliffs_delta_TOL_vs_AC	direction_supports_hypothesis
all_BC_samples	strict_burden_q90	6	5	5.361227852521327	6.340256976534633	5.19574597454788	6.981627092383093	0.979029124013306	1.0189207223017362	-3.172462803668741	4.749507092067479	0.36363636363636365	0.7294372294372294	0.647328684583698	0.6783514301493186	0.2	True
all_BC_samples	strict_burden_q95	6	5	13.653204866922529	16.907653588478933	13.917370651586996	17.09902547013483	3.254448721556404	3.2544487215564093	-6.2852992439971125	12.406880592851264	0.29004329004329005	0.5887445887445888	0.647328684583698	0.5627080420743088	0.2	True
all_BC_samples	strict_top_1pct_burden_mass	6	5	13162.49717483562	16420.078934753452	14659.36324689565	16949.829231765543	3257.5817599178317	3279.0991705116485	-7549.068512985141	14337.29449012148	0.30303030303030304	0.6038961038961039	0.783711298793628	0.6150220948508954	0.13333333333333333	True
all_BC_samples	strict_top_1pct_positive_burden_mass	6	5	13162.49717483562	16420.078934753452	14659.36324689565	16949.829231765543	3257.5817599178317	3279.0991705116485	-7549.068512985141	14337.29449012148	0.30303030303030304	0.6038961038961039	0.783711298793628	0.6150220948508954	0.13333333333333333	True
all_BC_samples	continuous_burden_q90	6	5	11.203871369373923	10.213634516371277	12.00768521838123	11.266069274241605	-0.9902368530026457	-0.9972413083737797	-3.8122658890036822	1.8084311423962645	0.7380952380952381	0.5411255411255411	0.6623376623376623	0.549113684232175	-0.2	False
all_BC_samples	continuous_burden_q95	6	5	23.111371443401634	20.615079504364395	23.963128895426287	22.601063117063873	-2.4962919390372384	-2.50996979720521	-8.324661514795837	3.2646683493690425	0.7727272727272727	0.461038961038961	0.42857142857142855	0.46612180837295325	-0.3333333333333333	False
all_BC_samples	continuous_top_1pct_burden_mass	6	5	141301.2182028275	115445.02859585355	142419.62511330814	120666.2766437679	-25856.189606973945	-24112.198265065323	-86882.26252759481	30693.673686101713	0.7683982683982684	0.45670995670995673	0.7922077922077921	0.469731195610775	-0.13333333333333333	False
all_BC_samples	continuous_top_1pct_positive_burden_mass	6	5	141301.2182028275	115445.02859585355	142419.62511330814	120666.2766437679	-25856.189606973945	-24112.198265065323	-86882.26252759481	30693.673686101713	0.7683982683982684	0.45670995670995673	0.7922077922077921	0.469731195610775	-0.13333333333333333	False
coverage_qc_protein_annotation_fraction_ge_0.5	strict_burden_q90	6	4	5.361227852521327	6.615481807054133	5.19574597454788	7.075210169994583	1.254253954532806	1.3010454933385516	-2.9923745378654325	4.960320952447814	0.3142857142857143	0.6666666666666666	0.5929096584060489	0.6002015091189699	0.25	True
coverage_qc_protein_annotation_fraction_ge_0.5	strict_burden_q95	6	4	13.653204866922529	17.20443748618945	13.917370651586996	17.677079227438654	3.5512326192669192	3.5512326192669175	-6.192409749386638	12.697276093400724	0.3047619047619048	0.6190476190476191	0.5929096584060489	0.5330328676840255	0.25	True
coverage_qc_protein_annotation_fraction_ge_0.5	strict_top_1pct_burden_mass	6	4	13162.49717483562	19026.387613785115	14659.36324689565	19381.008359616062	5863.890438949495	5863.890438949495	-4916.815843898577	16619.679447465624	0.20952380952380953	0.40476190476190477	0.5929096584060489	0.37865369630240325	0.25	True
coverage_qc_protein_annotation_fraction_ge_0.5	strict_top_1pct_positive_burden_mass	6	4	13162.49717483562	19026.387613785115	14659.36324689565	19381.008359616062	5863.890438949495	5863.890438949495	-4916.815843898577	16619.679447465624	0.20952380952380953	0.40476190476190477	0.5929096584060489	0.37865369630240325	0.25	True
coverage_qc_protein_annotation_fraction_ge_0.5	continuous_burden_q90	6	4	11.203871369373923	9.92014898319383	12.00768521838123	10.779782406963825	-1.2837223861800933	-1.2623426476680741	-4.379302704570701	1.6712355526455394	0.7761904761904762	0.4666666666666667	0.6095238095238095	0.48738861527005056	-0.25	False
coverage_qc_protein_annotation_fraction_ge_0.5	continuous_burden_q95	6	4	23.111371443401634	19.845154409890142	23.963128895426287	21.669466559038394	-3.2662170335114915	-3.198799804577881	-9.565199118672844	2.734524575021592	0.8095238095238095	0.3952380952380952	0.35238095238095235	0.3847727565302203	-0.4166666666666667	False
coverage_qc_protein_annotation_fraction_ge_0.5	continuous_top_1pct_burden_mass	6	4	141301.2182028275	141139.36402951647	142419.62511330814	135608.2155173504	-161.85417331103235	-287.0915797977359	-42820.50841002217	43691.59864737379	0.49523809523809526	1.0	0.9142857142857143	0.9949970537538316	0.08333333333333333	False
coverage_qc_protein_annotation_fraction_ge_0.5	continuous_top_1pct_positive_burden_mass	6	4	141301.2182028275	141139.36402951647	142419.62511330814	135608.2155173504	-161.85417331103235	-287.0915797977359	-42820.50841002217	43691.59864737379	0.49523809523809526	1.0	0.9142857142857143	0.9949970537538316	0.08333333333333333	False
