analysis_set	left_out_sample	left_out_group	metric	delta_TOL_minus_AC
all_BC_samples	SRR32060276	TOL	strict_amyloid_TPM_fraction	0.053439248842161405
all_BC_samples	SRR32060306	TOL	strict_amyloid_TPM_fraction	0.08183799151088782
all_BC_samples	SRR32060309	AC	strict_amyloid_TPM_fraction	0.05202306711492578
all_BC_samples	SRR32060312	AC	strict_amyloid_TPM_fraction	0.07984140319923644
all_BC_samples	SRR32060326	AC	strict_amyloid_TPM_fraction	0.0830392685304037
all_BC_samples	SRR32060336	TOL	strict_amyloid_TPM_fraction	0.06668240622588174
all_BC_samples	SRR32060341	TOL	strict_amyloid_TPM_fraction	0.05866529392150445
all_BC_samples	SRR32060215	AC	strict_amyloid_TPM_fraction	0.06700670801928021
all_BC_samples	SRR32060216	TOL	strict_amyloid_TPM_fraction	0.07809947229592935
all_BC_samples	SRR32060234	AC	strict_amyloid_TPM_fraction	0.07253578137686582
all_BC_samples	SRR32060240	AC	strict_amyloid_TPM_fraction	0.05202306711492578
coverage_QC_protein_coding_annotation_fraction_ge_0_5	SRR32060306	TOL	strict_amyloid_TPM_fraction	0.06746151620527734
coverage_QC_protein_coding_annotation_fraction_ge_0_5	SRR32060309	AC	strict_amyloid_TPM_fraction	0.037717433397814235
coverage_QC_protein_coding_annotation_fraction_ge_0_5	SRR32060312	AC	strict_amyloid_TPM_fraction	0.06553576948212489
coverage_QC_protein_coding_annotation_fraction_ge_0_5	SRR32060326	AC	strict_amyloid_TPM_fraction	0.06873363481329216
coverage_QC_protein_coding_annotation_fraction_ge_0_5	SRR32060336	TOL	strict_amyloid_TPM_fraction	0.0472540691586026
coverage_QC_protein_coding_annotation_fraction_ge_0_5	SRR32060341	TOL	strict_amyloid_TPM_fraction	0.036564586086099554
coverage_QC_protein_coding_annotation_fraction_ge_0_5	SRR32060215	AC	strict_amyloid_TPM_fraction	0.052701074302168666
coverage_QC_protein_coding_annotation_fraction_ge_0_5	SRR32060216	TOL	strict_amyloid_TPM_fraction	0.06247682391866606
coverage_QC_protein_coding_annotation_fraction_ge_0_5	SRR32060234	AC	strict_amyloid_TPM_fraction	0.058230147659754275
coverage_QC_protein_coding_annotation_fraction_ge_0_5	SRR32060240	AC	strict_amyloid_TPM_fraction	0.037717433397814235
