analysis_set	metric	n_AC	n_TOL	mean_AC	mean_TOL	median_AC	median_TOL	observed_delta_TOL_minus_AC	cliffs_delta_TOL_vs_AC	bootstrap_delta_ci2_5	bootstrap_delta_median	bootstrap_delta_ci97_5
all_BC_samples	strict_amyloid_TPM_fraction	6	5	0.07860907722173587	0.14635395978100882	0.08874088791573614	0.15060386511457363	0.06774488255927295	0.6	0.008483474594763368	0.06745751876991268	0.12964853046566624
all_BC_samples	strict_amyloid_TPM	6	5	74691.09049906333	95300.96117901802	86089.78714972734	93585.98256790638	20609.870679954693	0.2	-40900.34809701006	20498.502443997073	80237.27470070212
all_BC_samples	n_strict_amyloid_expressed_TPM_ge_1	6	5	1214.8333333333333	1663.2	1594.5	1974.0	448.3666666666668	0.4	-528.2683333333334	450.0166666666667	1415.0
all_BC_samples	strict_weighted_index_sum	6	5	-12897.512471618684	-18912.59373155728	-12644.647477934845	-18088.767930712875	-6015.081259938597	-0.2	-21831.217200325416	-6030.1961860023675	10476.224168174254
all_BC_samples	continuous_expression_weighted_amyloid_index	6	5	-0.13194825620693165	-0.10721088447993235	-0.17962594496545628	-0.10394549895856353	0.024737371726999302	0.26666666666666666	-0.12630073595272517	0.025732251728381207	0.1719606312899602
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM_fraction	6	4	0.07860907722173587	0.13204832606389727	0.08874088791573614	0.12776973297447844	0.053439248842161405	0.5	-0.005401871156661295	0.05310536174145464	0.11494514836473835
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM	6	4	74691.09049906333	114685.45264530182	86089.78714972734	115943.73476743698	39994.36214623849	0.3333333333333333	-12632.823473827544	39411.7672119538	92558.31313790879
coverage_QC_protein_coding_annotation_fraction_ge_0_5	n_strict_amyloid_expressed_TPM_ge_1	6	4	1214.8333333333333	2027.75	1594.5	2070.5	812.9166666666667	0.5833333333333334	123.15625000000009	800.4583333333333	1558.25
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_weighted_index_sum	6	4	-12897.512471618684	-24281.77551110516	-12644.647477934845	-25455.654488080538	-11384.263039486475	-0.5	-26255.093704061415	-11384.263039486475	4022.1786338671454
coverage_QC_protein_coding_annotation_fraction_ge_0_5	continuous_expression_weighted_amyloid_index	6	4	-0.13194825620693165	-0.08249875220639148	-0.17962594496545628	-0.08609992029689305	0.04944950400054017	0.3333333333333333	-0.10780281723442628	0.05075360420242988	0.203637672684997
