analysis_set	metric	n_permutations	observed_delta_TOL_minus_AC	null_mean_delta	null_sd_delta	null_ci2_5	null_ci97_5	empirical_p_greater	empirical_p_less	empirical_p_two_sided	empirical_percentile
all_BC_samples	strict_amyloid_TPM_fraction	10000	0.06774488255927295	-0.01838701237814487	0.04030967933876837	-0.09596810320336764	0.06072849224170239	0.0178982101789821	0.9822017798220178	0.0357964203579642	0.9822
all_BC_samples	strict_amyloid_TPM	10000	20609.870679954693	-44807.964183191616	34549.8261988923	-112914.07397435227	22478.225774899798	0.028497150284971504	0.9716028397160283	0.05699430056994301	0.9716
all_BC_samples	n_strict_amyloid_expressed_TPM_ge_1	10000	448.3666666666668	-62.014596666666655	19.351442644858096	-99.06666666666683	-23.90000000000009	9.999000099990002e-05	1.0	0.00019998000199980003	1.0
all_BC_samples	strict_weighted_index_sum	10000	-6015.081259938597	14660.131382642841	33294.58510744348	-51403.20529904867	80233.31552220746	0.763023697630237	0.23707629237076291	0.47415258474152583	0.237
all_BC_samples	continuous_expression_weighted_amyloid_index	10000	0.024737371726999302	0.02888748014515666	0.09402460259798168	-0.15752394328307642	0.21642577378484856	0.51994800519948	0.4801519848015198	0.9603039696030397	0.4801
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM_fraction	10000	0.053439248842161405	-0.01646745903387153	0.04154523096294127	-0.09646714272314401	0.0669847580445887	0.049595040495950406	0.9505049495050495	0.09919008099190081	0.9505
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM	10000	39994.36214623849	-21304.734943296506	38590.23619803836	-95444.3647700861	56426.906376941944	0.05959404059594041	0.9405059494050595	0.11918808119188082	0.9405
coverage_QC_protein_coding_annotation_fraction_ge_0_5	n_strict_amyloid_expressed_TPM_ge_1	10000	812.9166666666667	240.9307083333333	21.849982580209822	198.75	284.16666666666674	9.999000099990002e-05	1.0	0.00019998000199980003	1.0
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_weighted_index_sum	10000	-11384.263039486475	6915.737847809991	37208.30008497367	-71033.9772472242	77228.03255271899	0.7271272872712728	0.272972702729727	0.545945405459454	0.2729
coverage_QC_protein_coding_annotation_fraction_ge_0_5	continuous_expression_weighted_amyloid_index	10000	0.04944950400054017	0.024479172376565432	0.09818626903437433	-0.16995008093826394	0.21638813531893042	0.40385961403859616	0.5962403759624038	0.8077192280771923	0.5962
