Transcript_ID	SRR32060276	SRR32060306	SRR32060309	SRR32060312	SRR32060326	SRR32060336	SRR32060341	SRR32060215	SRR32060216	SRR32060234	SRR32060240
ENST00000000233.10	27.0	11.0	93.0	45.0	6.0	8.0	9.0	13.0	14.0	0.0	51.0
ENST00000000442.11	1.63135	23.8829	33.278	15.1865	0.313148	0.725104	0.325046	0.599218	0.0849806	17.6847	0.0
ENST00000001008.6	75.0	43.0	262.0	138.0	36.9242	34.0	26.0	30.0	54.0	159.0	1.0
ENST00000002165.11	93.0	41.0	81.0	111.0	18.0	22.0	25.6383	15.0	34.7231	148.0	73.0
ENST00000002596.6	30.2425	19.1686	100.44	44.854	10.1311	8.32036	10.2402	7.18164	13.0648	37.4172	47.2558
ENST00000003100.13	7.25295	32.1787	196.017	105.332	13.3757	31.568	17.5922	0.0	0.0	41.6916	102.987
ENST00000003302.8	187.986	130.196	440.399	601.21	68.7105	97.9508	88.6269	83.8142	106.947	217.583	15.1251
ENST00000005178.6	63.0	151.0	860.0	108.0	46.0	136.0	43.0	34.0	132.0	66.0	193.0
ENST00000005257.7	237.137	111.519	522.119	264.055	61.5275	94.8549	61.5275	38.4547	87.1639	330.0	0.0
ENST00000005259.9	50.1375	6.99371	14.137	0.0	8.4196	5.41911	7.18195	0.968083	8.35765	45.9661	0.0
ENST00000005260.9	12.0402	13.1484	29.0927	26.1372	4.0192	7.05786	3.01603	4.03164	11.0412	3.00672	4.00202
ENST00000005386.8	226.849	168.247	814.498	183.37	96.411	141.781	90.644	47.2603	158.624	264.658	466.932
ENST00000006750.8	12.9989	26.9995	138.996	91.9948	26.9955	19.9973	11.996	18.9952	19.9967	31.995	261.972
ENST00000006777.11	37.4541	23.8345	108.957	40.8591	0.0	0.0	6.80984	0.0	0.0	0.0	0.0
ENST00000007390.3	142.134	86.3562	375.005	275.668	63.8236	70.4204	55.1465	52.297	89.2273	252.878	140.077
ENST00000007516.8	25.8889	31.642	23.4914	0.0	0.0	0.0	0.0	0.0	14.3827	17.2593	89.1728
ENST00000008180.13	590.443	558.646	1744.05	2468.0	348.958	396.655	281.514	396.446	495.144	848.646	1454.76
ENST00000008440.9	11.8951	13.8841	53.534	0.0	10.758	17.2469	9.61035	6.05166	18.5183	0.0	0.0
ENST00000008527.10	42.0	17.0	46.0	1.0	0.0	1.0	4.0	0.0	9.0	0.0	0.0
ENST00000008938.5	12.0	1.0	88.0	47.0	21.0	18.0	20.0	6.0	3.0	0.0	0.0
ENST00000009041.12	66.0	3.0	94.0	138.0	2.0	14.0	8.0	4.0	14.6581	19.0	155.0
ENST00000010404.6	62.9999	140.0	139.0	0.0	6.99998	2.99999	1.99999	5.99997	21.0	129.0	110.0
ENST00000011473.6	0.0	26.4398	29.7982	70.4317	5.77433	17.2684	9.26074	12.6028	17.8039	0.0	0.0
ENST00000011619.6	122.27	39.0	180.092	135.425	16.0	20.0579	22.0	19.0	29.2047	49.0	257.844
ENST00000011653.9	47.0	46.0	244.0	78.0	13.0	20.0	20.0	28.0	56.0	0.0	19.0
ENST00000011691.6	54.3881	47.3994	277.035	167.189	23.2559	30.3414	32.0826	28.6977	36.1839	262.158	266.933
ENST00000012443.9	12.0	0.0	0.0	41.0	0.0	8.0	3.0	11.0	2.0	0.0	69.0
ENST00000013070.11	12.4811	13.4903	0.0	12.3661	0.0	1.73511	3.46391	5.62095	21.465	112.419	0.0
ENST00000013222.5	221.803	277.199	1459.96	961.212	105.753	97.0278	113.468	89.6082	96.9062	429.596	137.373
ENST00000014914.6	472.642	457.731	2246.5	1630.87	351.82	299.422	453.97	126.511	300.948	432.321	42.1599
ENST00000014930.9	44.0	82.0	43.0	39.0	7.0	9.0	3.0	28.0	16.0	106.0	48.0
ENST00000016171.6	195.951	176.3	592.757	404.857	103.255	102.467	82.8286	60.2466	86.7477	321.836	160.348
ENST00000016946.8	69.8798	0.0	40.0483	0.0	0.000192518	0.0	0.0	0.0	58.4799	0.0	66.2828
ENST00000017003.7	35.0	98.0	0.0	0.0	20.0	26.9073	13.7833	12.0	16.0	0.0	0.0
ENST00000019317.8	0.00270253	0.351357	1751.63	0.031166	442.898	318.109	3.86988	0.0169583	213.806	820.153	1108.41
