analysis_set	gene_name	n_AC	n_TOL	mean_strict_amyloid_TPM_AC	mean_strict_amyloid_TPM_TOL	median_strict_amyloid_TPM_AC	median_strict_amyloid_TPM_TOL	delta_mean_TOL_minus_AC	delta_median_TOL_minus_AC	log2FC_mean_TOL_vs_AC	cliffs_delta_TOL_vs_AC	replicated_expected_direction	tie_no_direction	mannwhitney_greater_p
all_BC_samples	ZNF580	6	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	True	1.0
all_BC_samples	STMP1	6	5	40.94243367513021	14.059280395507812	0.0	0.0	-26.883153279622398	0.0	-1.535368333855085	-0.2	False	True	0.7918151777990667
all_BC_samples	FXYD5	6	5	24.135033289591473	33.6451530456543	25.30970001220703	37.9833984375	9.510119756062824	12.673698425292969	0.47758623264240485	0.2	True	False	0.3201867697265244
all_BC_samples	SEPTIN7	6	5	3.931133270263672	6.875053977966308	0.0	0.0	2.9439207077026364	0.0	0.7910189017605841	0.23333333333333334	False	True	0.24301701724426744
all_BC_samples	AP2B1	6	5	44.167283376057945	27.244358825683594	0.0	0.0	-16.92292455037435	0.0	-0.6949976059068169	-0.06666666666666667	False	True	0.6244504368286437
all_BC_samples	YLPM1	6	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	True	1.0
all_BC_samples	SNX10	6	5	135.79773457845053	143.57642059326173	73.95719909667969	138.82699584960938	7.7786860148112	64.86979675292969	0.08030190730489126	0.13333333333333333	True	False	0.3911260349437319
all_BC_samples	TACC1	6	5	25.255167643229168	0.5876399993896484	0.0	0.0	-24.66752764383952	0.0	-5.204482535510525	0.0	False	True	0.5538524409575116
all_BC_samples	HBP1	6	5	3.9972734848658242	22.164593744277955	0.0	19.933130264282227	18.16732025941213	19.933130264282227	2.442015189401234	0.5333333333333333	True	False	0.075481159880126
all_BC_samples	PSMD8	6	5	0.5201849937438965	2.893560004234314	0.0	1.5495799779891968	2.3733750104904177	1.5495799779891968	2.271091665113458	0.4	True	False	0.1367509068596634
coverage_QC_protein_coding_annotation_fraction_ge_0_5	ZNF580	6	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	True	1.0
coverage_QC_protein_coding_annotation_fraction_ge_0_5	STMP1	6	4	40.94243367513021	17.574100494384766	0.0	0.0	-23.368333180745445	0.0	-1.215479487948262	-0.16666666666666666	False	True	0.7440167796859759
coverage_QC_protein_coding_annotation_fraction_ge_0_5	FXYD5	6	4	24.135033289591473	42.05644130706787	25.30970001220703	47.47464942932129	17.9214080174764	22.164949417114258	0.798659020852372	0.4166666666666667	True	False	0.16571235928269146
coverage_QC_protein_coding_annotation_fraction_ge_0_5	SEPTIN7	6	4	3.931133270263672	8.593817472457886	0.0	4.004234790802002	4.662684202194214	4.004234790802002	1.108804326578907	0.3333333333333333	True	False	0.1792857807696246
coverage_QC_protein_coding_annotation_fraction_ge_0_5	AP2B1	6	4	44.167283376057945	34.05544853210449	0.0	32.89054870605469	-10.111834843953453	32.89054870605469	-0.37412510198059784	0.0	True	False	0.5477964951906787
coverage_QC_protein_coding_annotation_fraction_ge_0_5	YLPM1	6	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	True	1.0
coverage_QC_protein_coding_annotation_fraction_ge_0_5	SNX10	6	4	135.79773457845053	179.47052574157715	73.95719909667969	157.04949951171875	43.67279116312662	83.09230041503906	0.40202916263110056	0.3333333333333333	True	False	0.22708713367772526
coverage_QC_protein_coding_annotation_fraction_ge_0_5	TACC1	6	4	25.255167643229168	0.7345499992370605	0.0	0.0	-24.520617643992107	0.0	-4.92513751665302	0.041666666666666664	False	True	0.5
coverage_QC_protein_coding_annotation_fraction_ge_0_5	HBP1	6	4	3.9972734848658242	27.705742180347443	0.0	20.2758150100708	23.708468695481617	20.2758150100708	2.7626467473537364	0.75	True	False	0.030759221541570667
coverage_QC_protein_coding_annotation_fraction_ge_0_5	PSMD8	6	4	0.5201849937438965	3.6169500052928925	0.0	2.9107550978660583	3.096765011548996	2.9107550978660583	2.583348759979098	0.5833333333333334	True	False	0.06966492804893594
