metric	n_AC	n_TOL	mean_AC	mean_TOL	median_AC	median_TOL	delta_mean_TOL_minus_AC	delta_median_TOL_minus_AC	cliffs_delta_TOL_vs_AC	mannwhitney_greater_p	welch_t_two_sided_p	analysis_set
strict_amyloid_TPM_fraction	6	5	0.27307098803249735	0.24546522259069511	0.22368531285116972	0.2999395297698431	-0.027605765441802238	0.0762542169186734	0.06666666666666667	0.4632979858546685	0.8360547068824355	all_BC_samples
strict_amyloid_TPM	6	5	278.7462443113327	251.04606058597565	127.14161884784698	311.0268335342407	-27.70018372535705	183.88521468639374	0.13333333333333333	0.3911260349437319	0.8708417454973889	all_BC_samples
n_strict_amyloid_expressed_TPM_ge_1	6	5	3.0	5.0	3.0	6.0	2.0	3.0	0.43333333333333335	0.13166315050079475	0.27411162754832674	all_BC_samples
strict_weighted_index_sum	6	5	-112.51216760556993	-118.2060698428842	-47.928238947833755	-90.88776380848897	-5.693902237314276	-42.959524860655215	-0.26666666666666666	0.796491986364313	0.9464760926328672	all_BC_samples
continuous_expression_weighted_amyloid_index	6	5	-0.1984546365474521	-0.12078942783635557	-0.16920781822031894	-0.10676163275002434	0.07766520871109653	0.062446185470294596	0.4666666666666667	0.12337662337662336	0.36859042795960073	all_BC_samples
strict_amyloid_TPM_fraction	6	4	0.27307098803249735	0.3068315282383689	0.22368531285116972	0.3134172599875463	0.03376054020587155	0.08973194713637661	0.25	0.29645482920302446	0.778445409651867	coverage_QC_protein_coding_annotation_fraction_ge_0_5
strict_amyloid_TPM	6	4	278.7462443113327	313.80757573246956	127.14161884784698	317.5940720438957	35.061331421136856	190.45245319604874	0.3333333333333333	0.22708713367772526	0.828512818970076	coverage_QC_protein_coding_annotation_fraction_ge_0_5
n_strict_amyloid_expressed_TPM_ge_1	6	4	3.0	6.25	3.0	6.0	3.25	3.0	0.7083333333333334	0.041150449535880616	0.03668341265702613	coverage_QC_protein_coding_annotation_fraction_ge_0_5
strict_weighted_index_sum	6	4	-112.51216760556993	-147.75758730360525	-47.928238947833755	-94.14906055230779	-35.24541969803532	-46.22082160447403	-0.5	0.9177390912552577	0.6997945465760688	coverage_QC_protein_coding_annotation_fraction_ge_0_5
continuous_expression_weighted_amyloid_index	6	4	-0.1984546365474521	-0.15098678479544447	-0.16920781822031894	-0.11958484656471899	0.04746785175200763	0.04962297165559995	0.3333333333333333	0.23809523809523808	0.6015634344456837	coverage_QC_protein_coding_annotation_fraction_ge_0_5
