analysis_set	metric	n_AC	n_TOL	mean_AC	mean_TOL	median_AC	median_TOL	delta_mean_TOL_minus_AC	bootstrap_delta_ci_low	bootstrap_delta_ci_high	cliffs_delta_TOL_vs_AC	mannwhitney_two_sided_p	mannwhitney_one_sided_p_TOL_gt_AC	welch_t_two_sided_p	exact_label_permutation_p_TOL_gt_AC	exact_label_permutation_two_sided_p	n_exact_label_permutations
all_BC_samples	strict_amyloid_TPM_contribution_gini	4	5	0.8832986296661431	0.8929036418885022	0.8829946847284945	0.90455116485726	0.0096050122223591	-0.033677427864731824	0.047288269958815854	0.3	0.5555555555555556	0.2777777777777778	0.698005703993574	0.3543307086614173	0.7086614173228346	126
all_BC_samples	strict_amyloid_TPM_top10_share	4	5	0.649060298496909	0.7029626727757375	0.6340013419592982	0.6981024166110201	0.05390237427882849	-0.08776938863626958	0.19345359490341246	0.3	0.5555555555555556	0.2777777777777778	0.5287869283995855	0.28346456692913385	0.5590551181102362	126
all_BC_samples	strict_amyloid_TPM_top5_share	4	5	0.5837903530929652	0.6465961944664315	0.5729988290217269	0.6472157569349223	0.06280584137346623	-0.10746326981969945	0.22478542006025537	0.3	0.5555555555555556	0.2777777777777778	0.536709753397737	0.28346456692913385	0.5590551181102362	126
all_BC_samples	strict_amyloid_TPM_top1_share	4	5	0.3572974574847267	0.4191471284124521	0.3746569003744091	0.4264848417047388	0.06184967092772542	-0.11648398401279464	0.24176605045924787	0.4	0.4126984126984127	0.20634920634920634	0.5704810027570901	0.2992125984251969	0.5905511811023622	126
all_BC_samples	strict_weighted_positive_contribution_gini	4	5	0.9451607454686013	0.9417833145288259	0.9449841277651786	0.9563501540094501	-0.0033774309397753832	-0.032656375515730404	0.020697263803939228	0.2	0.7301587301587302	0.3650793650793651	0.8382760557733677	0.5354330708661418	0.905511811023622	126
all_BC_samples	strict_weighted_positive_top10_share	4	5	0.8566632459787686	0.8510450263498116	0.8445018116268794	0.8763329654052606	-0.005618219628957033	-0.11198946025644078	0.08484539173262517	0.2	0.7301587301587302	0.3650793650793651	0.9254827602302558	0.5196850393700787	0.9448818897637795	126
all_BC_samples	strict_amyloid_TPM	6	5	59226.998697916664	76580.992578125	65647.58203125	70513.5625	17353.99388020834	-31544.768222656254	65252.35603841146	0.2	0.647328684583698	0.323664342291849	0.5429974075021348	0.2570194384449244	0.5205183585313174	462
all_BC_samples	n_strict_amyloid_transcripts_expressed_TPM_ge_1	6	5	742.6666666666666	1015.6	966.5	1192.0	272.9333333333334	-335.27666666666676	858.1333333333332	0.4	0.3142001092738079	0.15710005463690396	0.4322389916894331	0.17062634989200864	0.38660907127429806	462
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM_contribution_gini	4	4	0.8832986296661431	0.8828928649355314	0.8829946847284945	0.9008937872141151	-0.0004057647306117129	-0.04639473820894935	0.03844102082155865	0.125	0.8857142857142857	0.44285714285714284	0.9876050750783556	0.5211267605633803	1.0	70
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM_top10_share	4	4	0.649060298496909	0.6501898611577229	0.6340013419592982	0.6907736560277089	0.0011295626608138765	-0.1274647716957481	0.11195509861662524	0.125	0.8857142857142857	0.44285714285714284	0.987859815390631	0.49295774647887325	0.971830985915493	70
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM_top5_share	4	4	0.5837903530929652	0.587615231245677	0.5729988290217269	0.6326027819179589	0.003824878152711819	-0.14906663443130874	0.13862837880127676	0.125	0.8857142857142857	0.44285714285714284	0.9666028679786521	0.4788732394366197	0.9436619718309859	70
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM_top1_share	4	4	0.3572974574847267	0.4176189006500501	0.3746569003744091	0.4294984485033705	0.060321443165323396	-0.13652714287133197	0.25863916251631175	0.375	0.4857142857142857	0.24285714285714285	0.6199619539414911	0.323943661971831	0.6338028169014085	70
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_weighted_positive_contribution_gini	4	4	0.9451607454686013	0.9375949940993737	0.9449841277651786	0.9521800964745408	-0.007565751369227547	-0.04191611566856057	0.019501130640812825	0.125	0.8857142857142857	0.44285714285714284	0.7039064711044765	0.6197183098591549	0.8028169014084507	70
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_weighted_positive_top10_share	4	4	0.8566632459787686	0.8162200007118843	0.8445018116268794	0.8581466361332168	-0.040443245266884364	-0.1465537276547445	0.03707910218114374	0.0	1.0	0.5571428571428572	0.5179811247151184	0.6619718309859155	0.7183098591549296	70
coverage_QC_protein_coding_annotation_fraction_ge_0_5	strict_amyloid_TPM	6	4	59226.998697916664	91572.6171875	65647.58203125	90427.203125	32345.618489583336	-9187.324869791672	75509.59506835938	0.3333333333333333	0.4541742673554505	0.22708713367772526	0.22261971731133764	0.14691943127962084	0.2796208530805687	210
coverage_QC_protein_coding_annotation_fraction_ge_0_5	n_strict_amyloid_transcripts_expressed_TPM_ge_1	6	4	742.6666666666666	1235.75	966.5	1249.5	493.08333333333337	64.48958333333334	954.75	0.5833333333333334	0.16452181748948458	0.08226090874474229	0.10083512648521264	0.07109004739336493	0.1895734597156398	210
