sample	gene_name	n_classified_transcripts	n_amyloidogenic_transcripts	gene_total_log2_TPM_plus1	absolute_amyloidogenic_burden	normalized_amyloidogenic_fraction	KDmax_weighted_total	KDmax_weighted_amyloidogenic	KDmax_weighted_amyloidogenic_fraction	Group	subject
SRR32060215	ALB	0	0	0.0	0.0		0.0	0.0		AC	N015
SRR32060215	AFP	0	0	0.0	0.0		0.0	0.0		AC	N015
SRR32060215	CRP	0	0	0.0	0.0		0.0	0.0		AC	N015
SRR32060215	IL6	0	0	0.0	0.0		0.0	0.0		AC	N015
SRR32060215	SLFN11	1	0	2.8801016690185817	0.0	0.0	4.937317146888985	0.0	0.0	AC	N015
SRR32060216	ALB	0	0	0.0	0.0		0.0	0.0		TOL	N022
SRR32060216	AFP	0	0	0.0	0.0		0.0	0.0		TOL	N022
SRR32060216	CRP	0	0	0.0	0.0		0.0	0.0		TOL	N022
SRR32060216	IL6	0	0	0.0	0.0		0.0	0.0		TOL	N022
SRR32060216	SLFN11	0	0	0.0	0.0		0.0	0.0		TOL	N022
SRR32060234	ALB	1	0	1.4900412164606278	0.0	0.0	4.831990801950889	0.0	0.0	AC	N159
SRR32060234	AFP	0	0	0.0	0.0		0.0	0.0		AC	N159
SRR32060234	CRP	0	0	0.0	0.0		0.0	0.0		AC	N159
SRR32060234	IL6	0	0	0.0	0.0		0.0	0.0		AC	N159
SRR32060234	SLFN11	1	0	1.1665933408872151	0.0	0.0	3.983082978172058	0.0	0.0	AC	N159
SRR32060240	ALB	0	0	0.0	0.0		0.0	0.0		AC	N149
SRR32060240	AFP	1	1	3.188883535828926	3.188883535828926	1.0	11.844424561650282	11.844424561650282	1.0	AC	N149
SRR32060240	CRP	0	0	0.0	0.0		0.0	0.0		AC	N149
SRR32060240	IL6	0	0	0.0	0.0		0.0	0.0		AC	N149
SRR32060240	SLFN11	1	0	2.69138452779742	0.0	0.0	9.189155744908323	0.0	0.0	AC	N149
SRR32060306	ALB	1	1	6.972704140384024	6.972704140384024	1.0	22.61148342667389	22.61148342667389	1.0	TOL	N101
SRR32060306	AFP	0	0	0.0	0.0		0.0	0.0		TOL	N101
SRR32060306	CRP	0	0	0.0	0.0		0.0	0.0		TOL	N101
SRR32060306	IL6	0	0	0.0	0.0		0.0	0.0		TOL	N101
SRR32060306	SLFN11	1	0	1.5310195716186328	0.0	0.0	5.227338251669326	0.0	0.0	TOL	N101
SRR32060309	ALB	0	0	0.0	0.0		0.0	0.0		AC	N87
SRR32060309	AFP	0	0	0.0	0.0		0.0	0.0		AC	N87
SRR32060309	CRP	0	0	0.0	0.0		0.0	0.0		AC	N87
SRR32060309	IL6	0	0	0.0	0.0		0.0	0.0		AC	N87
SRR32060309	SLFN11	2	0	8.063856124040003	0.0	0.0	16.902026523163947	0.0	0.0	AC	N87
SRR32060312	ALB	0	0	0.0	0.0		0.0	0.0		AC	N106
SRR32060312	AFP	0	0	0.0	0.0		0.0	0.0		AC	N106
SRR32060312	CRP	0	0	0.0	0.0		0.0	0.0		AC	N106
SRR32060312	IL6	0	0	0.0	0.0		0.0	0.0		AC	N106
SRR32060312	SLFN11	1	0	2.381322139220111	0.0	0.0	4.082266524377323	0.0	0.0	AC	N106
SRR32060326	ALB	1	1	1.967268227535823	1.967268227535823	1.0	6.37956982358045	6.37956982358045	1.0	AC	N032
SRR32060326	AFP	0	0	0.0	0.0		0.0	0.0		AC	N032
SRR32060326	CRP	0	0	0.0	0.0		0.0	0.0		AC	N032
SRR32060326	IL6	0	0	0.0	0.0		0.0	0.0		AC	N032
SRR32060326	SLFN11	2	0	4.385857550541871	0.0	0.0	9.327131153356612	0.0	0.0	AC	N032
SRR32060336	ALB	1	1	3.8870767958271393	3.8870767958271393	1.0	12.605234752182284	12.605234752182284	1.0	TOL	N072
SRR32060336	AFP	0	0	0.0	0.0		0.0	0.0		TOL	N072
SRR32060336	CRP	0	0	0.0	0.0		0.0	0.0		TOL	N072
SRR32060336	IL6	0	0	0.0	0.0		0.0	0.0		TOL	N072
SRR32060336	SLFN11	2	0	5.076596402001639	0.0	0.0	11.782761440956385	0.0	0.0	TOL	N072
SRR32060341	ALB	0	0	0.0	0.0		0.0	0.0		TOL	N064
SRR32060341	AFP	0	0	0.0	0.0		0.0	0.0		TOL	N064
SRR32060341	CRP	0	0	0.0	0.0		0.0	0.0		TOL	N064
SRR32060341	IL6	0	0	0.0	0.0		0.0	0.0		TOL	N064
SRR32060341	SLFN11	0	0	0.0	0.0		0.0	0.0		TOL	N064
