sample	panel_gene	panel_gene_strict_amyloid_TPM	panel_gene_strict_weighted_index	n_panel_strict_amyloid_transcripts
SRR32060215	B2M	719.9136	-432.41371193304485	2
SRR32060215	CLU	100.1912	65.63066701502768	2
SRR32060215	LYZ	583.333	210.74627490042664	1
SRR32060215	S100A9	3102.0	-1072.681397005729	1
SRR32060216	B2M	1130.494	-621.2491306970105	2
SRR32060216	CLU	527.907	335.54920385301534	2
SRR32060216	LYZ	2146.4	747.0796453641761	1
SRR32060216	S100A9	3427.14	-1211.0565346479682	1
SRR32060234	B2M	5763.699	-3280.40009556079	2
SRR32060234	CLU	17.4241	9.369367864036834	1
SRR32060234	LYZ	3121.43	1105.326394141343	1
SRR32060234	S100A9	7312.01	-2598.914038667624	1
SRR32060276	S100A9	7065.48	-2417.697227299605	1
SRR32060306	B2M	1070.3834	-649.422527050215	2
SRR32060306	CLU	154.97409	128.9257985985502	2
SRR32060306	LYZ	1095.61	390.9448411316542	1
SRR32060306	S100A9	1879.6	-648.8062381084609	1
SRR32060312	B2M	642.2831	-192.52440719846658	3
SRR32060312	CLU	174.708	94.35522262247771	1
SRR32060312	LYZ	854.377	304.41443974743896	1
SRR32060312	S100A9	8680.98	-2937.7461167447727	1
SRR32060326	B2M	742.877	-309.4065598602867	2
SRR32060326	CLU	331.68298	216.12627701550116	2
SRR32060326	LYZ	824.275	289.34371462367784	1
SRR32060326	S100A9	10962.8	-3791.8570000662016	1
SRR32060336	B2M	1532.111	-854.7340823395499	2
SRR32060336	CLU	8.33387	4.440665992871931	1
SRR32060336	LYZ	2517.3	960.4548654753095	1
SRR32060336	S100A9	8394.8	-3057.9216174674334	1
SRR32060341	B2M	526.036	55.938232515067114	2
SRR32060341	CLU	182.49721	68.1530138357378	2
SRR32060341	S100A9	6591.12	-2304.9777028048934	1
