feature	n_amyloidogenic	n_non_amyloidogenic	median_amyloidogenic	median_non_amyloidogenic	mannwhitney_u	p_value	cliffs_delta	q_value
protein_length	6642	1394	500.0	195.0	7772306.5	0.0	0.6788746410499336	0.0
beta_propensity	6642	1394	0.987310893546608	0.93997886728656	6725466.0	4.361267687506526e-156	0.4527494916269106	8.722535375013052e-156
alpha_propensity	6642	1394	1.03023699802502	1.01030944782903	6142062.0	3.168577115071573e-82	0.3267299913553894	3.520641238968415e-82
chameleon_score	6642	1394	0.922763055651062	0.923532370156166	4329711.0	0.0001408745237934667	-0.06475098466910068	0.0001408745237934667
KD_max	6642	1394	2.85714285714286	1.97142857142857	7957506.0	0.0	0.7188790778390806	0.0
KD_mean	6642	1394	-0.368025379734666	-0.717984693877551	6584743.0	4.2969609046216695e-136	0.42235230179497707	7.161601507702782e-136
KD_sd	6642	1394	1.16299040354386	1.05789323432854	6823147.0	8.852227428975171e-171	0.4738492969179653	2.2130568572437928e-170
charge	6642	1394	-2.90422928958453	4.01343282023864	2761505.0	2.190510856877353e-124	-0.40349486788347877	2.738138571096691e-124
aromaticity	6642	1394	86.4089775561097	67.03887157618499	7237303.5	1.7295920588837794e-240	0.5633101082325984	5.765306862945932e-240
pI	6642	1394	6.83980386235431	8.672288333505449	2733407.0	4.2717635415841653e-128	-0.4095642399114888	6.102519345120237e-128
