sample	n_protein_coding_rows	n_collapsed_protein_coding_transcripts	n_amyloidogenic_transcripts	all_protein_coding_log2TPM_sum	all_protein_coding_KDmax_log2TPM_sum	n_missing_expression_after_merge	n_missing_KDmax
SRR32060215	23630	14630	14	42329.028963829434	105467.7285583617	0	3
SRR32060216	26027	17138	612	58581.47716488924	147102.6747792257	0	28
SRR32060234	24126	12212	0	42168.47564504127	105647.62067124681	0	1
SRR32060240	21817	11151	428	41807.05279099506	105422.80914391778	0	3
SRR32060276	2934	2352	66	8200.822948430821	15970.434524459502	0	478
SRR32060306	22753	13736	490	39449.25576094174	98508.05107522602	0	22
SRR32060309	15977	13409	507	47092.78618911778	115983.24031888964	0	157
SRR32060312	16231	13872	475	44922.00710222269	112435.77738852834	0	45
SRR32060326	30436	16919	615	58695.64308235953	148505.01564360986	0	1
SRR32060336	26698	16555	606	54478.10767121289	136780.98134945214	0	23
SRR32060341	17025	13961	492	49162.916554807234	121147.8865468468	0	128
