analysis_set	metric	n_AC	n_TOL	mean_AC	mean_TOL	median_AC	median_TOL	delta_mean_TOL_minus_AC	bootstrap_delta_mean_TOL_minus_AC_median	bootstrap_delta_mean_TOL_minus_AC_ci95_low	bootstrap_delta_mean_TOL_minus_AC_ci95_high	empirical_permutation_p_one_sided_TOL_gt_AC	empirical_permutation_p_two_sided	mannwhitney_p_two_sided	welch_t_p_two_sided	cliffs_delta_TOL_vs_AC	direction_supports_hypothesis	excluded_sample
all_BC_samples_leave_one_out	rank_based_strict_amyloid_burden_score	6	4	0.6182731357379914	0.914699941981883	0.9174870210630208	0.9111155180847388	0.2964268062438916	0.29562781361683976	-0.01671813908262849	0.6132587743428645	0.29523809523809524	0.42857142857142855	1.0	0.19008730296633897	0.0	True	SRR32060276
all_BC_samples_leave_one_out	rank_based_strict_amyloid_burden_score	6	4	0.6182731357379914	0.9099800168697291	0.9174870210630208	0.9104425009088231	0.2917068811317377	0.29151741228257044	-0.020388184459832703	0.6049500024757739	0.32857142857142857	0.46190476190476193	0.5929096584060489	0.19601923455288423	-0.25	True	SRR32060306
all_BC_samples_leave_one_out	rank_based_strict_amyloid_burden_score	5	5	0.7419277628855896	0.9141203083530576	0.9218852447252064	0.9118017738377554	0.17219254546746798	0.1708129845001991	-0.023280796199221195	0.5448016699817066	0.4603174603174603	0.9206349206349206	0.5476190476190477	0.4060373601337369	-0.28	True	SRR32060309
all_BC_samples_leave_one_out	rank_based_strict_amyloid_burden_score	5	5	0.5575507139405483	0.9141203083530576	0.9130887974008353	0.9118017738377554	0.35656959441250924	0.3561996071812339	-0.018112928649095306	0.7322429157385176	0.20238095238095238	0.40476190476190477	1.0	0.19240789306617243	0.04	True	SRR32060312
all_BC_samples_leave_one_out	rank_based_strict_amyloid_burden_score	5	5	0.5593100034054226	0.9141203083530576	0.9218852447252064	0.9118017738377554	0.354810304947635	0.35454109807726863	-0.02045388072737753	0.7310600124653032	0.21428571428571427	0.42857142857142855	1.0	0.19525558537806892	-0.04	True	SRR32060326
all_BC_samples_leave_one_out	rank_based_strict_amyloid_burden_score	6	4	0.6182731357379914	0.9143634333939251	0.9174870210630208	0.9104425009088231	0.29609029765593375	0.29541066119146764	-0.01683978882573616	0.6128780221064275	0.3	0.43333333333333335	0.9148485865792471	0.19050900424694717	-0.08333333333333333	True	SRR32060336
all_BC_samples_leave_one_out	rank_based_strict_amyloid_burden_score	6	4	0.6182731357379914	0.9161785710734011	0.9174870210630208	0.9124747910136711	0.2979054353354097	0.29740271318265454	-0.014538693381574767	0.6138937498358773	0.2904761904761905	0.4238095238095238	1.0	0.18823691890043948	0.0	True	SRR32060341
all_BC_samples_leave_one_out	rank_based_strict_amyloid_burden_score	5	5	0.556543637051693	0.9141203083530576	0.9130887974008353	0.9118017738377554	0.3575766713013646	0.3572890813624855	-0.01634972705290383	0.7326854521461048	0.19444444444444445	0.3888888888888889	1.0	0.19077355064689866	0.04	True	SRR32060215
all_BC_samples_leave_one_out	rank_based_strict_amyloid_burden_score	6	4	0.6182731357379914	0.9153795784463492	0.9174870210630208	0.9124747910136711	0.29710644270835784	0.2966037205556027	-0.015554573504927106	0.6134315796602197	0.2904761904761905	0.4238095238095238	1.0	0.1892362569177757	0.0	True	SRR32060216
all_BC_samples_leave_one_out	rank_based_strict_amyloid_burden_score	5	5	0.552378934259105	0.9141203083530576	0.9130887974008353	0.9118017738377554	0.3617413740939526	0.3611976649223796	-0.008627464673940634	0.7330558317804569	0.18253968253968253	0.36507936507936506	0.834035229790992	0.1839829686896508	0.12	True	SRR32060234
all_BC_samples_leave_one_out	rank_based_strict_amyloid_burden_score	5	5	0.7419277628855896	0.9141203083530576	0.9218852447252064	0.9118017738377554	0.17219254546746798	0.17116669310702282	-0.023591410281176062	0.5456772309740243	0.4603174603174603	0.9206349206349206	0.5476190476190477	0.4060373601337369	-0.28	True	SRR32060240
coverage_qc_protein_annotation_fraction_ge_0.5_leave_one_out	rank_based_strict_amyloid_burden_score	6	3	0.6182731357379914	0.9093727645470536	0.9174870210630208	0.9090832279798908	0.29109962880906226	0.29098475053120254	-0.021444456770901565	0.6046090810287825	0.40476190476190477	0.4880952380952381	0.6973336740469912	0.19680570837963585	-0.2222222222222222	True	SRR32060306
coverage_qc_protein_annotation_fraction_ge_0.5_leave_one_out	rank_based_strict_amyloid_burden_score	5	4	0.7419277628855896	0.914699941981883	0.9218852447252064	0.9111155180847388	0.1727721790962934	0.1712109771404286	-0.02298544139870751	0.5459458440918004	0.49206349206349204	0.9365079365079365	0.7301587301587302	0.4046404466192525	-0.2	True	SRR32060309
coverage_qc_protein_annotation_fraction_ge_0.5_leave_one_out	rank_based_strict_amyloid_burden_score	5	4	0.5575507139405483	0.914699941981883	0.9130887974008353	0.9111155180847388	0.35714922804133464	0.35686559793155626	-0.018364005314490228	0.7336992326721823	0.24603174603174602	0.4126984126984127	0.9021165931072543	0.1918394107135104	0.1	True	SRR32060312
coverage_qc_protein_annotation_fraction_ge_0.5_leave_one_out	rank_based_strict_amyloid_burden_score	5	4	0.5593100034054226	0.914699941981883	0.9218852447252064	0.9111155180847388	0.3553899385764604	0.3551712248448521	-0.02055919996900092	0.7323658126114944	0.2619047619047619	0.42857142857142855	1.0	0.1946804105611648	0.0	True	SRR32060326
coverage_qc_protein_annotation_fraction_ge_0.5_leave_one_out	rank_based_strict_amyloid_burden_score	6	3	0.6182731357379914	0.9152173199126484	0.9174870210630208	0.9090832279798908	0.29694418417465707	0.2960049965709648	-0.017550312835905135	0.6157484975864219	0.35714285714285715	0.44047619047619047	1.0	0.1894975035586915	0.0	True	SRR32060336
coverage_qc_protein_annotation_fraction_ge_0.5_leave_one_out	rank_based_strict_amyloid_burden_score	6	3	0.6182731357379914	0.9176375034852828	0.9174870210630208	0.9131478081895869	0.29936436774729147	0.2987375239339425	-0.014434621039591589	0.6168138210891577	0.3333333333333333	0.4166666666666667	0.8968506656319674	0.18647563361795685	0.1111111111111111	True	SRR32060341
coverage_qc_protein_annotation_fraction_ge_0.5_leave_one_out	rank_based_strict_amyloid_burden_score	5	4	0.556543637051693	0.914699941981883	0.9130887974008353	0.9111155180847388	0.35815630493019	0.3579285230350133	-0.01656856526838768	0.7338973201811918	0.23015873015873015	0.3968253968253968	0.9021165931072543	0.19020891087361064	0.1	True	SRR32060215
coverage_qc_protein_annotation_fraction_ge_0.5_leave_one_out	rank_based_strict_amyloid_burden_score	6	3	0.6182731357379914	0.916572179982547	0.9174870210630208	0.9131478081895869	0.29829904424455567	0.2975746917817026	-0.015726037304350293	0.6165877283271348	0.3333333333333333	0.4166666666666667	0.8968506656319674	0.18780519573898688	0.1111111111111111	True	SRR32060216
coverage_qc_protein_annotation_fraction_ge_0.5_leave_one_out	rank_based_strict_amyloid_burden_score	5	4	0.552378934259105	0.914699941981883	0.9130887974008353	0.9111155180847388	0.362321007722778	0.3615220150957261	-0.008991372259230745	0.7347153777246063	0.21428571428571427	0.38095238095238093	0.7121545376511493	0.18343431323648196	0.2	True	SRR32060234
coverage_qc_protein_annotation_fraction_ge_0.5_leave_one_out	rank_based_strict_amyloid_burden_score	5	4	0.7419277628855896	0.914699941981883	0.9218852447252064	0.9111155180847388	0.1727721790962934	0.1715373203122612	-0.02371834814631335	0.5466992261690949	0.49206349206349204	0.9365079365079365	0.7301587301587302	0.4046404466192525	-0.2	True	SRR32060240
