analysis_set	immune_score	Group	n_samples	spearman_rho	spearman_p_value	correlation_difference_TOL_minus_AC	bootstrap_ci_low	bootstrap_ci_high
TOL_vs_AC	UPR_score	AC	6	0.7714285714285715	0.07239650145772594			
TOL_vs_AC	UPR_score	TOL	4	0.7999999999999999	0.2000000000000001			
TOL_vs_AC	UPR_score	TOL_minus_AC	10	0.02857142857142847		0.02857142857142847	-1.823529411764706	1.0909090909090908
TOL_vs_AC	Inflammatory_score	AC	6	0.942857142857143	0.004804664723032055			
TOL_vs_AC	Inflammatory_score	TOL	4	0.39999999999999997	0.6			
TOL_vs_AC	Inflammatory_score	TOL_minus_AC	10	-0.5428571428571429		-0.5428571428571429	-2.0	0.3870967741935484
TOL_vs_AC	IFNG_score	AC	6	-0.08571428571428573	0.8717434402332361			
TOL_vs_AC	IFNG_score	TOL	4	0.7999999999999999	0.2000000000000001			
TOL_vs_AC	IFNG_score	TOL_minus_AC	10	0.8857142857142857		0.8857142857142857	-1.0	1.92
TOL_vs_AC	IFNA_score	AC	6	-0.14285714285714288	0.7871720116618076			
TOL_vs_AC	IFNA_score	TOL	4	0.39999999999999997	0.6			
TOL_vs_AC	IFNA_score	TOL_minus_AC	10	0.5428571428571428		0.5428571428571428	-1.4545454545454546	2.0
TOL_vs_AC	Myeloid_score	AC	6	0.3142857142857143	0.5440932944606415			
TOL_vs_AC	Myeloid_score	TOL	4	0.19999999999999998	0.8			
TOL_vs_AC	Myeloid_score	TOL_minus_AC	10	-0.1142857142857143		-0.1142857142857143	-1.935483870967742	1.595959595959596
