gene	mean_log2_TPM_plus1_AC	mean_log2_TPM_plus1_TOL	delta_log2_TPM_plus1_TOL_minus_AC	welch_t_TOL_vs_AC	welch_p_value	rank_metric	FDR
PPIC	0.040254843731721245	1.4590753614902496	1.4188205177585285	16.103094522158216	3.199735679398665e-05	16.103094522158216	0.6298359711328332
TPPP3	0.08307584623495738	2.1724548935890198	2.0893790473540625	10.163833386120112	0.000415843086215399	10.163833386120112	1.0
COL1A1	0.03440401547898849	0.701756164431572	0.6673521489525834	8.870742175750886	0.0007958917354528025	8.870742175750886	1.0
BEX1	0.19745834668477377	1.9871906042099	1.7897322575251262	7.144963902225847	9.760016106231769e-05	7.144963902225847	0.7158949092453618
GLYR1	1.1630949477354686	4.692807078361511	3.5297121306260424	6.7125711475485605	0.0009131874021231885	6.7125711475485605	1.0
SYNM	0.07788023352622986	1.0459877848625183	0.9681075513362885	6.5826103056067025	0.0030264548931120652	6.5826103056067025	1.0
SERINC2	0.22755477825800577	1.4030008614063263	1.1754460831483204	6.435207901383363	0.00020777393551822012	6.435207901383363	1.0
MPDU1	0.0	1.2966727763414383	1.2966727763414383	5.400290736285964	0.012446501027018376	5.400290736285964	1.0
LAMP5	0.0	1.078612707555294	1.078612707555294	5.357889615646755	0.012721584278970894	5.357889615646755	1.0
EPGN	1.1118031839529674	2.802191436290741	1.6903882523377736	5.338990450848406	0.0010327554182033238	5.338990450848406	1.0
SGF29	0.5150347848733267	3.065912425518036	2.550877640644709	4.893393693034625	0.002658174264342842	4.893393693034625	1.0
PUS7	0.12724722176790237	0.5537563413381577	0.4265091195702553	4.887727767877499	0.0017136688729485763	4.887727767877499	1.0
MRM1	0.1456012912094593	1.1742016226053238	1.0286003313958645	4.871459736100247	0.002711450930728348	4.871459736100247	1.0
KCTD13	1.1304781640077028	4.506739795207977	3.3762616312002747	4.86868864494186	0.0012614046282282485	4.86868864494186	1.0
SAMD4A	0.21872714223961034	0.9618681371212006	0.7431409948815902	4.796483273351546	0.0016329005881457036	4.796483273351546	1.0
PIAS3	0.32709290087223053	1.4924910217523575	1.165398120880127	4.7265063175773365	0.0037131286773291615	4.7265063175773365	1.0
NUP42	0.7631065646807352	2.6368950605392456	1.8737884958585105	4.620265606663829	0.007804605328001834	4.620265606663829	1.0
TSPYL6	0.13300357262293497	0.9158949106931686	0.7828913380702337	4.603318733003849	0.0045902812097178905	4.603318733003849	1.0
RIDA	0.35625441869099933	2.4341134428977966	2.077859024206797	4.572616681867203	0.001821687919501225	4.572616681867203	1.0
AK1	4.0841414133707685	4.82748806476593	0.7433466513951617	4.326967420214561	0.003428165153582241	4.326967420214561	1.0
NID1	0.1260989507039388	0.6645233780145645	0.5384244273106257	4.305617138527665	0.003841362203336076	4.305617138527665	1.0
SAXO2	0.5020131866137186	1.8923920691013336	1.390378882487615	4.262210476785664	0.0030517648800527535	4.262210476785664	1.0
MTA3	0.29276155432065326	1.246649369597435	0.9538878152767818	4.180206090036196	0.0031112937085279245	4.180206090036196	1.0
GALNT15	1.0318243106206257	3.1330589056015015	2.101234594980876	4.11051093281743	0.0058805485849188505	4.11051093281743	1.0
ZC2HC1C	0.7392713526884714	1.3055323362350464	0.566260983546575	4.105047839186722	0.004405744929681555	4.105047839186722	1.0
LAS1L	1.3498704334100087	2.675152838230133	1.3252824048201244	4.094810379012263	0.004076714006644724	4.094810379012263	1.0
KRT18	0.525421271721522	1.8047365248203278	1.279315253098806	4.070655487914659	0.0035801714252680175	4.070655487914659	1.0
SLC16A4	0.6249121278524399	2.25738063454628	1.63246850669384	4.070110149743752	0.006699606140740407	4.070110149743752	1.0
FGFRL1	0.32963541833062965	1.364624261856079	1.0349888435254495	4.032093703120931	0.006846319235273385	4.032093703120931	1.0
CERS5	4.229091604550679	6.059696078300476	1.8306044737497968	4.032028047878775	0.007637424117671261	4.032028047878775	1.0
TMEM25	1.547732835014661	3.2382120490074158	1.6904792139927547	3.870194401553349	0.005004763669908518	3.870194401553349	1.0
GP2	1.178839735686779	2.523253560066223	1.3444138243794441	3.8618270748149714	0.006270188851708357	3.8618270748149714	1.0
XPO1	0.7079261938730875	3.646065592765808	2.9381393988927207	3.8460178167827657	0.02041802797397523	3.8460178167827657	1.0
FGB	1.04887855052948	2.8387670516967773	1.7898885011672974	3.833497157019164	0.005039412957364474	3.833497157019164	1.0
ZSCAN21	0.6072835524876913	1.821642816066742	1.2143592635790506	3.7901970789482	0.006113937425657633	3.7901970789482	1.0
NUDT1	1.424813449382782	3.7723023295402527	2.3474888801574707	3.7785296341893346	0.00545411167494662	3.7785296341893346	1.0
GOLGA8O	0.4272865851720174	2.244610220193863	1.8173236350218456	3.762979300018579	0.006638006783175488	3.762979300018579	1.0
MYOM2	0.25681491444508237	2.040655016899109	1.7838401024540265	3.761758396553693	0.018849764576634426	3.761758396553693	1.0
GSTZ1	0.4368296166261037	1.8973912000656128	1.4605615834395091	3.7573213230332283	0.005649004191524886	3.7573213230332283	1.0
SERPINE2	0.44131341576576233	1.4411332607269287	0.9998198449611664	3.7244207760778614	0.006202831727114925	3.7244207760778614	1.0
C5orf63	1.089663823445638	2.819993495941162	1.7303296724955242	3.6930022872335835	0.007166350717780445	3.6930022872335835	1.0
NPM3	0.0	1.6757472157478333	1.6757472157478333	3.674450144582764	0.03489174740881989	3.674450144582764	1.0
