analysis_set	signature_1	signature_2	spearman_rho
TOL_vs_AC	Amyloid_score	Amyloid_score	1.0
TOL_vs_AC	Amyloid_score	UPR_score	0.8787878787878788
TOL_vs_AC	Amyloid_score	Inflammatory_score	0.8787878787878788
TOL_vs_AC	Amyloid_score	IFNG_score	0.23636363636363636
TOL_vs_AC	Amyloid_score	IFNA_score	0.3939393939393939
TOL_vs_AC	Amyloid_score	Myeloid_score	0.45454545454545453
TOL_vs_AC	UPR_score	Amyloid_score	0.8787878787878788
TOL_vs_AC	UPR_score	UPR_score	1.0
TOL_vs_AC	UPR_score	Inflammatory_score	0.9030303030303031
TOL_vs_AC	UPR_score	IFNG_score	0.38181818181818183
TOL_vs_AC	UPR_score	IFNA_score	0.45454545454545453
TOL_vs_AC	UPR_score	Myeloid_score	0.696969696969697
TOL_vs_AC	Inflammatory_score	Amyloid_score	0.8787878787878788
TOL_vs_AC	Inflammatory_score	UPR_score	0.9030303030303031
TOL_vs_AC	Inflammatory_score	Inflammatory_score	1.0
TOL_vs_AC	Inflammatory_score	IFNG_score	0.3696969696969697
TOL_vs_AC	Inflammatory_score	IFNA_score	0.6363636363636364
TOL_vs_AC	Inflammatory_score	Myeloid_score	0.6363636363636364
TOL_vs_AC	IFNG_score	Amyloid_score	0.23636363636363636
TOL_vs_AC	IFNG_score	UPR_score	0.38181818181818183
TOL_vs_AC	IFNG_score	Inflammatory_score	0.3696969696969697
TOL_vs_AC	IFNG_score	IFNG_score	1.0
TOL_vs_AC	IFNG_score	IFNA_score	0.18787878787878787
TOL_vs_AC	IFNG_score	Myeloid_score	0.41818181818181815
TOL_vs_AC	IFNA_score	Amyloid_score	0.3939393939393939
TOL_vs_AC	IFNA_score	UPR_score	0.45454545454545453
TOL_vs_AC	IFNA_score	Inflammatory_score	0.6363636363636364
TOL_vs_AC	IFNA_score	IFNG_score	0.18787878787878787
TOL_vs_AC	IFNA_score	IFNA_score	1.0
TOL_vs_AC	IFNA_score	Myeloid_score	0.6242424242424243
TOL_vs_AC	Myeloid_score	Amyloid_score	0.45454545454545453
TOL_vs_AC	Myeloid_score	UPR_score	0.696969696969697
TOL_vs_AC	Myeloid_score	Inflammatory_score	0.6363636363636364
TOL_vs_AC	Myeloid_score	IFNG_score	0.41818181818181815
TOL_vs_AC	Myeloid_score	IFNA_score	0.6242424242424243
TOL_vs_AC	Myeloid_score	Myeloid_score	1.0
