predictor	feature	n_amyloid	n_non_amyloid	median_amyloid	median_non_amyloid	mannwhitney_u	p_value	cliffs_delta	q_value
AMYPred_Pred	protein_length	140516	2807	316.0	67.0	350144468.0	0.0	0.775452565521573	0.0
AMYPred_Pred	beta_propensity	140516	2807	0.981301114352671	0.924843205574913	290026200.5	0.0	0.4706151569020337	0.0
AMYPred_Pred	alpha_propensity	140516	2807	1.02154652686763	0.981255411255411	278198210.5	1.055989297524682e-304	0.4106398121238791	1.5085561393209742e-304
AMYPred_Pred	chameleon_score	140516	2807	0.92458518383181	0.925765592824835	187681589.0	1.1232911520054405e-05	-0.04833636071835515	1.1232911520054405e-05
AMYPred_Pred	KD_max	140516	2807	2.54285714285714	1.21428571428571	363669938.5	0.0	0.8440352035288979	0.0
AMYPred_Pred	KD_mean	140516	2807	-0.431659103442115	-0.818077601410935	289709177.5	0.0	0.46900765100055725	0.0
AMYPred_Pred	KD_sd	140516	2807	1.11898313004093	0.95036663654933	312085191.0	0.0	0.5824681057712445	0.0
AMYPred_Pred	charge	140516	2807	-0.8030693411126305	3.89754179125346	135636040.0	4.617628345155023e-177	-0.31224001175655675	5.1306981612833595e-177
AMYPred_Pred	aromaticity	140516	2807	81.2121212121212	54.2622950819672	331643852.0	0.0	0.6816428122830056	0.0
AMYPred_Pred	pI	140516	2807	7.15808304320809	9.74278024395066	118497725.0	5.3444388838465735e-288	-0.3991420425362258	6.680548604808217e-288
AmyloGramPy_Pred	protein_length	137798	2453	324.0	65.0	304097756.5	0.0	0.7992965586078258	0.0
AmyloGramPy_Pred	beta_propensity	137798	2453	0.981290516206483	0.928928571428571	244941332.5	0.0	0.44927769839717707	0.0
AmyloGramPy_Pred	alpha_propensity	137798	2453	1.02157955865273	0.975924369747899	245951807.5	0.0	0.4552565132723182	0.0
AmyloGramPy_Pred	chameleon_score	137798	2453	0.92458518383181	0.926391936773229	155454670.0	9.136509580807953e-12	-0.08020020940037677	9.136509580807953e-12
AmyloGramPy_Pred	KD_max	137798	2453	2.54285714285714	1.21428571428571	313045111.0	0.0	0.8522365879779347	0.0
AmyloGramPy_Pred	KD_mean	137798	2453	-0.431076066790353	-0.806122448979592	244535365.5	0.0	0.44687565822951686	0.0
AmyloGramPy_Pred	KD_sd	137798	2453	1.11978520422611	0.941928263619727	272422974.0	0.0	0.611882064654131	0.0
AmyloGramPy_Pred	charge	137798	2453	-0.797790156957917	3.30735293366073	119225418.0	1.8865799178301143e-138	-0.29456275253388947	2.096199908700127e-138
AmyloGramPy_Pred	aromaticity	137798	2453	81.25	54.2622950819672	285599420.0	0.0	0.6898449349342406	0.0
AmyloGramPy_Pred	pI	137798	2453	7.16734395728682	9.65642613388082	105020926.0	2.1846385974152944e-227	-0.37860840241480986	2.730798246769118e-227
