sample	filter	classifier	n_rows_after_filter	n_present	n_missing	Amyloidogenic	Intermediate	Non-Amyloidogenic
SRR32060215	GENCODE protein_coding	AMYPred_Q17_Q83_Class	23630	23328	302	316	6195	16817
SRR32060215	GENCODE protein_coding	AmyloGramPy_Q17_Q83_Class	23630	23630	0	4399	16057	3174
SRR32060215	GENCODE protein_coding	BothPredictors_Q17_Q83_Class	23630	23328	302	19	22408	901
SRR32060215	GENCODE protein_coding	AMYPred_Stringent_Class	23630	23328	302	249	4729	18350
SRR32060215	GENCODE protein_coding	AmyloGramPy_Stringent_Class	23630	23630	0	2391	21138	101
SRR32060215	GENCODE protein_coding	BothPredictors_Stringent_Class	23630	23328	302	10	23318	0
SRR32060216	GENCODE protein_coding	AMYPred_Q17_Q83_Class	26027	25589	438	5572	19054	963
SRR32060216	GENCODE protein_coding	AmyloGramPy_Q17_Q83_Class	26027	26027	0	4935	17545	3547
SRR32060216	GENCODE protein_coding	BothPredictors_Q17_Q83_Class	26027	25589	438	965	24545	79
SRR32060216	GENCODE protein_coding	AMYPred_Stringent_Class	26027	25589	438	3877	18926	2786
SRR32060216	GENCODE protein_coding	AmyloGramPy_Stringent_Class	26027	26027	0	2719	23168	140
SRR32060216	GENCODE protein_coding	BothPredictors_Stringent_Class	26027	25589	438	310	25279	0
SRR32060234	GENCODE protein_coding	AMYPred_Q17_Q83_Class	24126	23890	236	269	6033	17588
SRR32060234	GENCODE protein_coding	AmyloGramPy_Q17_Q83_Class	24126	0	24126	0	0	0
SRR32060234	GENCODE protein_coding	BothPredictors_Q17_Q83_Class	24126	0	24126	0	0	0
SRR32060234	GENCODE protein_coding	AMYPred_Stringent_Class	24126	23890	236	201	4528	19161
SRR32060234	GENCODE protein_coding	AmyloGramPy_Stringent_Class	24126	0	24126	0	0	0
SRR32060234	GENCODE protein_coding	BothPredictors_Stringent_Class	24126	0	24126	0	0	0
SRR32060240	GENCODE protein_coding	AMYPred_Q17_Q83_Class	21817	21665	152	4784	16047	834
SRR32060240	GENCODE protein_coding	AmyloGramPy_Q17_Q83_Class	21817	21817	0	4132	15130	2555
SRR32060240	GENCODE protein_coding	BothPredictors_Q17_Q83_Class	21817	21665	152	829	20781	55
SRR32060240	GENCODE protein_coding	AMYPred_Stringent_Class	21817	21665	152	3273	16085	2307
SRR32060240	GENCODE protein_coding	AmyloGramPy_Stringent_Class	21817	21817	0	2237	19536	44
SRR32060240	GENCODE protein_coding	BothPredictors_Stringent_Class	21817	21665	152	265	21400	0
SRR32060276	GENCODE protein_coding	AMYPred_Q17_Q83_Class	2934	2707	227	537	2064	106
SRR32060276	GENCODE protein_coding	AmyloGramPy_Q17_Q83_Class	2934	2934	0	483	1761	690
SRR32060276	GENCODE protein_coding	BothPredictors_Q17_Q83_Class	2934	2707	227	81	2613	13
SRR32060276	GENCODE protein_coding	AMYPred_Stringent_Class	2934	2707	227	340	2061	306
SRR32060276	GENCODE protein_coding	AmyloGramPy_Stringent_Class	2934	2934	0	277	2573	84
SRR32060276	GENCODE protein_coding	BothPredictors_Stringent_Class	2934	2707	227	21	2686	0
SRR32060306	GENCODE protein_coding	AMYPred_Q17_Q83_Class	22753	22447	306	5019	16562	866
SRR32060306	GENCODE protein_coding	AmyloGramPy_Q17_Q83_Class	22753	22753	0	4205	15460	3088
SRR32060306	GENCODE protein_coding	BothPredictors_Q17_Q83_Class	22753	22447	306	861	21524	62
SRR32060306	GENCODE protein_coding	AMYPred_Stringent_Class	22753	22447	306	3488	16512	2447
SRR32060306	GENCODE protein_coding	AmyloGramPy_Stringent_Class	22753	22753	0	2263	20386	104
