sample	classifier	n_rows	n_present	n_missing	Amyloidogenic	Intermediate	Non-Amyloidogenic
SRR32060215	AMYPred_Q17_Q83_Class	27956	27550	406	526	8875	18149
SRR32060215	AmyloGramPy_Q17_Q83_Class	27956	27956	0	4794	18534	4628
SRR32060215	BothPredictors_Q17_Q83_Class	27956	27550	406	31	26480	1039
SRR32060216	AMYPred_Q17_Q83_Class	31175	30592	583	6490	22951	1151
SRR32060216	AmyloGramPy_Q17_Q83_Class	31175	31175	0	5409	20510	5256
SRR32060216	BothPredictors_Q17_Q83_Class	31175	30592	583	1034	29458	100
SRR32060234	AMYPred_Q17_Q83_Class	28312	27978	334	501	8529	18948
SRR32060234	AmyloGramPy_Q17_Q83_Class	28312	0	28312	0	0	0
SRR32060234	BothPredictors_Q17_Q83_Class	28312	0	28312	0	0	0
SRR32060240	AMYPred_Q17_Q83_Class	25302	25082	220	5381	18761	940
SRR32060240	AmyloGramPy_Q17_Q83_Class	25302	25302	0	4460	17071	3771
SRR32060240	BothPredictors_Q17_Q83_Class	25302	25082	220	872	24139	71
SRR32060276	AMYPred_Q17_Q83_Class	3425	3161	264	592	2440	129
SRR32060276	AmyloGramPy_Q17_Q83_Class	3425	3425	0	523	2025	877
SRR32060276	BothPredictors_Q17_Q83_Class	3425	3161	264	87	3057	17
SRR32060306	AMYPred_Q17_Q83_Class	26945	26528	417	5717	19804	1007
SRR32060306	AmyloGramPy_Q17_Q83_Class	26945	26945	0	4552	17927	4466
SRR32060306	BothPredictors_Q17_Q83_Class	26945	26528	417	917	25533	78
SRR32060309	AMYPred_Q17_Q83_Class	19144	18515	629	3833	13991	691
SRR32060309	AmyloGramPy_Q17_Q83_Class	19144	19144	0	3229	12347	3568
SRR32060309	BothPredictors_Q17_Q83_Class	19144	18515	629	637	17818	60
SRR32060312	AMYPred_Q17_Q83_Class	19358	18946	412	3939	14280	727
SRR32060312	AmyloGramPy_Q17_Q83_Class	19358	19358	0	3182	12750	3426
SRR32060312	BothPredictors_Q17_Q83_Class	19358	18946	412	612	18276	58
SRR32060326	AMYPred_Q17_Q83_Class	36496	35850	646	7400	27045	1405
SRR32060326	AmyloGramPy_Q17_Q83_Class	36496	36496	0	6330	23929	6237
SRR32060326	BothPredictors_Q17_Q83_Class	36496	35850	646	1169	34553	128
SRR32060336	AMYPred_Q17_Q83_Class	31764	31238	526	6622	23375	1241
SRR32060336	AmyloGramPy_Q17_Q83_Class	31764	31764	0	5518	21095	5151
SRR32060336	BothPredictors_Q17_Q83_Class	31764	31238	526	1096	30042	100
SRR32060341	AMYPred_Q17_Q83_Class	20625	20064	561	4136	15180	748
SRR32060341	AmyloGramPy_Q17_Q83_Class	20625	20625	0	3511	13314	3800
SRR32060341	BothPredictors_Q17_Q83_Class	20625	20064	561	671	19335	58
