sample	classifier	n_rows	n_present	n_missing	Amyloidogenic	Intermediate	Non-Amyloidogenic
SRR32060215	AMYPred_Stringent_Class	27956	27550	406	410	7094	20046
SRR32060215	AmyloGramPy_Stringent_Class	27956	27956	0	2591	25233	132
SRR32060215	BothPredictors_Stringent_Class	27956	27550	406	16	27532	2
SRR32060216	AMYPred_Stringent_Class	31175	30592	583	4586	22726	3280
SRR32060216	AmyloGramPy_Stringent_Class	31175	31175	0	2971	28016	188
SRR32060216	BothPredictors_Stringent_Class	31175	30592	583	337	30255	0
SRR32060234	AMYPred_Stringent_Class	28312	27978	334	389	6702	20887
SRR32060234	AmyloGramPy_Stringent_Class	28312	0	28312	0	0	0
SRR32060234	BothPredictors_Stringent_Class	28312	0	28312	0	0	0
SRR32060240	AMYPred_Stringent_Class	25302	25082	220	3732	18708	2642
SRR32060240	AmyloGramPy_Stringent_Class	25302	25302	0	2408	22830	64
SRR32060240	BothPredictors_Stringent_Class	25302	25082	220	278	24804	0
SRR32060276	AMYPred_Stringent_Class	3425	3161	264	385	2409	367
SRR32060276	AmyloGramPy_Stringent_Class	3425	3425	0	291	3037	97
SRR32060276	BothPredictors_Stringent_Class	3425	3161	264	21	3140	0
SRR32060306	AMYPred_Stringent_Class	26945	26528	417	4026	19673	2829
SRR32060306	AmyloGramPy_Stringent_Class	26945	26945	0	2436	24380	129
SRR32060306	BothPredictors_Stringent_Class	26945	26528	417	292	26236	0
SRR32060309	AMYPred_Stringent_Class	19144	18515	629	2692	13858	1965
SRR32060309	AmyloGramPy_Stringent_Class	19144	19144	0	1768	17161	215
SRR32060309	BothPredictors_Stringent_Class	19144	18515	629	208	18307	0
SRR32060312	AMYPred_Stringent_Class	19358	18946	412	2810	14099	2037
SRR32060312	AmyloGramPy_Stringent_Class	19358	19358	0	1735	17489	134
SRR32060312	BothPredictors_Stringent_Class	19358	18946	412	201	18745	0
SRR32060326	AMYPred_Stringent_Class	36496	35850	646	5261	26677	3912
SRR32060326	AmyloGramPy_Stringent_Class	36496	36496	0	3451	32860	185
SRR32060326	BothPredictors_Stringent_Class	36496	35850	646	385	35464	1
SRR32060336	AMYPred_Stringent_Class	31764	31238	526	4692	23133	3413
SRR32060336	AmyloGramPy_Stringent_Class	31764	31764	0	2977	28657	130
SRR32060336	BothPredictors_Stringent_Class	31764	31238	526	354	30884	0
SRR32060341	AMYPred_Stringent_Class	20625	20064	561	2931	15009	2124
SRR32060341	AmyloGramPy_Stringent_Class	20625	20625	0	1879	18563	183
SRR32060341	BothPredictors_Stringent_Class	20625	20064	561	207	19856	1
