analysis_set	metric	left_out_sample	left_out_group	n_AC	n_TOL	delta_mean_TOL_minus_AC	direction_TOL_gt_AC
all_BC_samples	mean_paired_log2_expression_shift	SRR32060276	TOL	4	4	0.04189605130037988	True
all_BC_samples	mean_paired_log2_expression_shift	SRR32060306	TOL	4	4	0.2015983350835322	True
all_BC_samples	mean_paired_log2_expression_shift	SRR32060312	AC	3	5	0.1305216623411365	True
all_BC_samples	mean_paired_log2_expression_shift	SRR32060326	AC	3	5	0.19617317162680914	True
all_BC_samples	mean_paired_log2_expression_shift	SRR32060336	TOL	4	4	0.14197447518386896	True
all_BC_samples	mean_paired_log2_expression_shift	SRR32060341	TOL	4	4	0.18219685328722957	True
all_BC_samples	mean_paired_log2_expression_shift	SRR32060215	AC	3	5	0.10157880291666155	True
all_BC_samples	mean_paired_log2_expression_shift	SRR32060216	TOL	4	4	0.15670606307167434	True
all_BC_samples	mean_paired_log2_expression_shift	SRR32060234	AC	3	5	0.1512237854567413	True
all_BC_samples	fraction_pairs_amyloid_gt_control	SRR32060276	TOL	4	4	-0.001157833394675456	False
all_BC_samples	fraction_pairs_amyloid_gt_control	SRR32060306	TOL	4	4	-0.001157833394675456	False
all_BC_samples	fraction_pairs_amyloid_gt_control	SRR32060312	AC	3	5	0.00024332392753445564	True
all_BC_samples	fraction_pairs_amyloid_gt_control	SRR32060326	AC	3	5	0.00024332392753445564	True
all_BC_samples	fraction_pairs_amyloid_gt_control	SRR32060336	TOL	4	4	0.0004447307078886409	True
all_BC_samples	fraction_pairs_amyloid_gt_control	SRR32060341	TOL	4	4	0.0005904183535763163	True
all_BC_samples	fraction_pairs_amyloid_gt_control	SRR32060215	AC	3	5	0.00024332392753445564	True
all_BC_samples	fraction_pairs_amyloid_gt_control	SRR32060216	TOL	4	4	-0.001157833394675456	False
all_BC_samples	fraction_pairs_amyloid_gt_control	SRR32060234	AC	3	5	-0.002680652680652762	False
coverage_qc	mean_paired_log2_expression_shift	SRR32060306	TOL	4	3	0.08320192253632097	True
coverage_qc	mean_paired_log2_expression_shift	SRR32060312	AC	3	4	0.027543358056179024	True
coverage_qc	mean_paired_log2_expression_shift	SRR32060326	AC	3	4	0.09319486734185167	True
coverage_qc	mean_paired_log2_expression_shift	SRR32060336	TOL	4	3	0.003703442670103474	True
coverage_qc	mean_paired_log2_expression_shift	SRR32060341	TOL	4	3	0.057333280141251386	True
coverage_qc	mean_paired_log2_expression_shift	SRR32060215	AC	3	4	-0.001399501368295919	False
coverage_qc	mean_paired_log2_expression_shift	SRR32060216	TOL	4	3	0.023345559853844122	True
coverage_qc	mean_paired_log2_expression_shift	SRR32060234	AC	3	4	0.048245481171783844	True
coverage_qc	fraction_pairs_amyloid_gt_control	SRR32060306	TOL	4	3	-0.002274772011614079	False
coverage_qc	fraction_pairs_amyloid_gt_control	SRR32060312	AC	3	4	-0.0004268392426286516	False
coverage_qc	fraction_pairs_amyloid_gt_control	SRR32060326	AC	3	4	-0.0004268392426286516	False
coverage_qc	fraction_pairs_amyloid_gt_control	SRR32060336	TOL	4	3	-0.0001380198748619499	False
coverage_qc	fraction_pairs_amyloid_gt_control	SRR32060341	TOL	4	3	5.6230319388284045e-05	True
coverage_qc	fraction_pairs_amyloid_gt_control	SRR32060215	AC	3	4	-0.0004268392426286516	False
coverage_qc	fraction_pairs_amyloid_gt_control	SRR32060216	TOL	4	3	-0.002274772011614079	False
coverage_qc	fraction_pairs_amyloid_gt_control	SRR32060234	AC	3	4	-0.003350815850815869	False
