analysis_set	metric	n_AC	n_TOL	mean_AC	mean_TOL	median_AC	median_TOL	delta_mean_TOL_minus_AC	delta_median_TOL_minus_AC	bootstrap_delta_mean_95ci_low	bootstrap_delta_mean_95ci_high	cliffs_delta_TOL_vs_AC	mannwhitney_two_sided_p	welch_t_two_sided_p	exact_permutation_one_sided_TOL_gt_AC_p	exact_permutation_two_sided_p
all_BC_samples	mean_paired_log2_expression_shift	4	5	3.101100438582804	3.2459747941681414	3.0890955435236096	3.198647964222792	0.14487435558533734	0.10955242069918247	-0.05383865487345707	0.37649449398774903	0.4	0.4126984126984127	0.2937996217894934	0.1746031746031746	0.373015873015873
all_BC_samples	median_paired_log2_expression_shift	4	5	3.1759706789533313	3.3143569493936367	3.135504660596599	3.2441219414737947	0.13838627044030538	0.10861728087719591	-0.06356908654570681	0.3782901406802907	0.4	0.4126984126984127	0.3262253597415893	0.19047619047619047	0.4365079365079365
all_BC_samples	fraction_pairs_amyloid_gt_control	4	5	0.9978070175438596	0.9973193473193472	1.0	1.0	-0.00048767022451234876	0.0	-0.005244755244755206	0.004385964912280826	-0.05	1.0	0.8647154220532817	0.5634920634920635	1.0
all_BC_samples	mean_paired_TPM_shift	4	5	458.10591542942507	571.4759173740053	450.08171930275853	555.2621278487719	113.37000194458028	105.18040854601338	-138.97248580539025	391.1656829656513	0.1	0.9047619047619049	0.49263004294024915	0.30952380952380953	0.5793650793650794
all_BC_samples	strict_amyloid_TPM_fraction	6	5	0.0764997271456838	0.13887885908063824	0.08314121276293557	0.14870693900483758	0.06237913193495444	0.06556572624190202	0.0014654843563236676	0.12425824966175293	0.5333333333333333	0.16992989526206792	0.1059295327645907	0.05627705627705628	0.12121212121212122
coverage_qc	mean_paired_log2_expression_shift	4	4	3.101100438582804	3.142996489883184	3.0890955435236096	3.147666383791681	0.04189605130037988	0.05857084026807158	-0.09476289355114709	0.1747713505047077	0.25	0.6857142857142857	0.6188349552265497	0.3142857142857143	0.6285714285714286
coverage_qc	median_paired_log2_expression_shift	4	4	3.1759706789533313	3.2061484226974213	3.135504660596599	3.2308259787620934	0.03017774374408999	0.0953213181654946	-0.10807693448490685	0.15252300262252216	0.25	0.6857142857142857	0.7144534769200013	0.34285714285714286	0.6857142857142857
coverage_qc	fraction_pairs_amyloid_gt_control	4	4	0.9978070175438596	0.9966491841491841	1.0	0.9967948717948718	-0.001157833394675456	-0.0032051282051281937	-0.005244755244755317	0.004385964912280826	-0.125	0.8686610629910667	0.7062821071713995	0.6428571428571429	1.0
coverage_qc	mean_paired_TPM_shift	4	4	458.10591542942507	454.3457061656125	450.08171930275853	488.39763427376386	-3.7602092638125555	38.31591497100533	-199.90216881213985	181.3480741936001	-0.125	0.8857142857142857	0.9743601997800042	0.5571428571428572	0.9142857142857143
coverage_qc	strict_amyloid_TPM_fraction	6	4	0.0764997271456838	0.12337718712492064	0.08314121276293557	0.11934459196758854	0.04687745997923684	0.03620337920465297	-0.010328928505597372	0.10635093486296492	0.4166666666666667	0.33588698327934785	0.19909428088165806	0.10952380952380952	0.24285714285714285
