Transcript_ID_clean	gene_name	gene_id	mean_TPM_AC	mean_TPM_TOL	mean_strict_burden_AC	mean_strict_burden_TOL	n_samples_AC	n_samples_TOL	Amyloid_Index_max	delta_mean_strict_burden_TOL_minus_AC	delta_mean_TPM_TOL_minus_AC
ENST00000397797	HBA1	ENSG00000206172.8	32939.95068359375	38603.099853515625	11008.208309981172	12900.777195460618	4	4	0.3341901879490056	1892.5688854794462	5663.149169921875
ENST00000368738	S100A9	ENSG00000163220.11	7514.447509765625	5471.627954101563	-2616.1769012347563	-1939.2492587948514	4	5	-0.34815292778808093	676.927642439905	-2042.8195556640621
ENST00000261267	LYZ	ENSG00000090382.7	1345.853744506836	1919.7699788411458	475.95351165500665	716.8890981663388	4	3	0.39889919460335677	240.9355865113322	573.9162343343098
ENST00000549017	MYL6	ENSG00000092841.19	391.83924865722656	49.65585947036743	-268.63437882065364	-34.04271269235912	4	2	-0.6855729224196472	234.59166612829452	-342.18338918685913
ENST00000509877	RPL37	ENSG00000145592.14	443.7009963989258	345.5902557373047	-1006.0186383597917	-783.5687576294503	4	4	-2.267334638697303	222.44988073034142	-98.1107406616211
ENST00000553981	SLIRP	ENSG00000119705.10	117.76899719238281	15.229499816894531	-131.63671374724055	-17.022827362920466	1	1	-1.1177535419801867	114.61388638432008	-102.53949737548828
ENST00000532556	RSF1	ENSG00000048649.14	71.393798828125	6.651780128479004	-94.15528328438832	-5.6660976646379515	1	1	-0.8518167400601622	88.48918561975037	-64.742018699646
ENST00000634739	PPP1R12A	ENSG00000058272.19	217.27800178527832	198.70269521077475	-233.04822899401773	-146.44140439317036	4	3	-0.4957073701327605	86.60682460084737	-18.57530657450357
ENST00000646110	IKZF1	ENSG00000185811.21	60.493600845336914	8.186070203781128	-95.04780315522517	-12.861988350356551	2	2	-1.5712042567648183	82.18581480486861	-52.307530641555786
ENST00000519742	CLU	ENSG00000120885.22	112.80214881896973	290.635986328125	52.04316962294182	134.08980319408562	2	1	0.46136682827259945	82.0466335711438	177.83383750915527
ENST00000302312	AHSP	ENSG00000169877.10	314.3842582702637	74.31564807891846	-106.54596158438163	-25.185841774965887	4	4	-0.3389036148648012	81.36011980941575	-240.06861019134521
ENST00000311672	UQCRH	ENSG00000173660.12	90.83942699432373	46.988819694519044	-167.02434827182074	-87.97281992787464	4	5	-1.8161426049719036	79.0515283439461	-43.850607299804686
ENST00000243997	ATP5F1E	ENSG00000124172.10	350.0872497558594	272.6892509460449	-343.33950551049236	-267.43331167625485	4	4	-0.9807255355627127	75.90619383423751	-77.39799880981445
ENST00000535212	CCDC91	ENSG00000123106.11	113.61900329589844	205.213259379069	-61.13417359747041	8.568246434770996	1	3	0.04175288897362996	69.7024200322414	91.59425608317056
ENST00000261811	CYSTM1	ENSG00000120306.11	129.21547508239746	55.343750953674316	-115.7111433961354	-49.55976595370652	4	4	-0.8954898267591348	66.15137744242888	-73.87172412872314
ENST00000620047	PPIA	ENSG00000196262.15	124.24745661020279	28.855965614318848	-83.38167768855206	-19.365054946706227	4	3	-0.671093638159069	64.01662274184584	-95.39149099588394
ENST00000311534	ISCA1	ENSG00000135070.15	66.96719932556152	21.243827402591705	-78.84617307494446	-22.574667683707155	4	4	0.5753544137398926	56.271505391237305	-45.72337192296982
ENST00000602651	ZHX1	ENSG00000165156.15	15.047699928283691	2.1618099212646484	-60.66778818636362	-8.71576566701394	1	1	-4.031698430690548	51.95202251934968	-12.885890007019043
ENST00000490612	GIGYF2	ENSG00000204120.16	71.36239624023438	20.081599235534668	-69.85040281578792	-19.65611960485799	1	2	-0.9788124628080525	50.194283210929925	-51.28079700469971
ENST00000699926	NOP10	ENSG00000182117.7	166.67675018310547	125.86310195922852	-201.97631531800005	-152.51896584431645	4	4	-1.2117845776097487	49.45734947368359	-40.81364822387695
ENST00000538098	WDR74	ENSG00000133316.16	157.49395561218262	46.78916676839193	-68.26008200749035	-20.27907895422447	4	3	-0.43341397923597674	47.98100305326588	-110.70478884379068
ENST00000590618	COX6B1	ENSG00000126267.11	53.86351410547892	18.425750096638996	-72.22047602354489	-24.70534025062409	3	3	-1.3408051298346078	47.5151357729208	-35.43776400883992
ENST00000361871	MSRB1	ENSG00000198736.13	277.2261219024658	194.77532768249512	-143.3279708001939	-100.7002957985921	4	4	-0.5170074515944056	42.6276750016018	-82.4507942199707
ENST00000416690	GTF3C3	ENSG00000119041.11	41.489223877588906	74.98355007171631	51.240060445970876	92.60625480641093	3	4	1.2350209441649507	41.366194360440055	33.4943261941274
ENST00000321777	RBIS	ENSG00000176731.12	27.78382396697998	11.123100280761719	-67.75630954603898	-27.12586383467663	2	2	-2.4386963301583244	40.63044571136235	-16.66072368621826
ENST00000674129	SNCA	ENSG00000145335.17	237.65874481201172	189.87319564819336	-197.15646218016298	-157.51462268493682	4	4	-0.8295779830702795	39.64183949522615	-47.78554916381836
ENST00000593087	UBL5	ENSG00000198258.11	108.39976501464844	62.2818660736084	-91.96556637308343	-52.83947882597264	3	3	-0.8483926728130434	39.12608754711079	-46.11789894104004
ENST00000615697	RBIS	ENSG00000176731.12	40.80009841918945	8.310449957847595	-44.98166479267494	-9.162180699652012	1	2	-1.102489124671297	35.81948409302293	-32.48964846134186
ENST00000649813	COX6B1	ENSG00000126267.11	362.8687438964844	263.60166422526044	-126.29870774690761	-91.74818749636371	4	3	-0.34805617698210145	34.5505202505439	-99.26707967122394
ENST00000553876	RBM23	ENSG00000100461.18	75.23553403218587	51.35117483139038	-105.82188063040577	-72.22754464550997	3	4	-1.4065412307053609	33.59433598489581	-23.884359200795487
ENST00000507606	STMP1	ENSG00000243317.8	122.82730102539062	70.29640197753906	-28.67149727322299	4.745710065449233	2	1	0.06750999954401038	33.41720733867222	-52.53089904785156
ENST00000522352	EIF3E	ENSG00000104408.11	277.28467750549316	192.4971046447754	-107.81960735657744	-74.85073617047055	4	4	-0.3888408415731571	32.96887118610688	-84.78757286071777
ENST00000545199	MGP	ENSG00000111341.10	52.643798828125	14.22700023651123	-42.33130910042402	-11.440047222842345	1	1	-0.8041081768933529	30.891261877581677	-38.41679859161377
ENST00000540349	ANKRD49	ENSG00000168876.9	296.2750066121419	170.2930704752604	-123.42329112983789	-92.96311536422611	3	3	-0.30510797975449455	30.46017576561178	-125.9819361368815
ENST00000349807	MAL	ENSG00000172005.11	66.07385015487671	89.8630256652832	83.07758808211358	112.98877562808084	4	4	1.2573444394019755	29.911187545967266	23.789175510406494
ENST00000590515	BCL2	ENSG00000171791.14	20.18452525138855	51.5081000328064	18.554952218184702	47.34965638552501	4	4	0.9192662193978656	28.794704167340306	31.323574781417847
ENST00000515828	ANKRD13D	ENSG00000172932.16	38.58530020713806	16.57086722056071	-49.53431895375153	-21.273039676692008	4	3	-1.2837613984557767	28.261279277059522	-22.01443298657735
ENST00000366089	SENP7	ENSG00000138468.16	85.62263361612956	113.23374938964844	85.74496325353981	113.39552721544553	3	4	1.0014287067828196	27.650563961905718	27.611115773518875
ENST00000376086	LST1	ENSG00000204482.11	63.24330139160156	24.16900062561035	-43.794293995120206	-16.736386236579094	1	1	-0.6924732427225233	27.057907758541113	-39.07430076599121
ENST00000558049	MEF2A	ENSG00000068305.19	29.727582693099976	11.710644602775574	-44.01559097014695	-17.339147557132833	4	2	-1.480631352523774	26.67644341301412	-18.016938090324402
ENST00000650237	ITM2B	ENSG00000136156.15	2085.605021158854	2415.166702270508	166.60641087707938	192.933106629912	3	4	0.07988397092777687	26.32669575283262	329.5616811116538
ENST00000513438	POLR2J3	ENSG00000285437.2	32.737966219584145	55.3987021446228	21.929664495639617	47.75511593891829	3	4	0.862025897542684	25.82545144327867	22.660735925038658
ENST00000237014	TTR	ENSG00000118271.12	1.819790005683899	58.80787181854248	0.7964276293005818	25.737153072808898	1	2	0.43764809500713503	24.940725443508317	56.98808181285858
ENST00000582475	SNRPD1	ENSG00000167088.11	42.8575245141983	27.797234654426575	-70.85254157888453	-45.95470098788113	4	4	-1.6532112477801122	24.897840591003394	-15.060289859771729
ENST00000424358	MMP24OS	ENSG00000126005.17	107.94450092315674	88.43460083007812	-137.51228199326977	-112.6582981375307	4	4	-1.2739165109592907	24.85398385573906	-19.509900093078613
ENST00000221859	POLR2I	ENSG00000105258.9	55.04685068130493	19.189290444056194	-37.064909935386275	-12.920799523131784	4	3	-0.6733338869824627	24.14411041225449	-35.857560237248734
ENST00000552445	LARP4	ENSG00000161813.23	20.771979570388794	5.477896690368652	-31.490943835356173	-8.179633007408109	3	3	-1.4325277440775708	23.311310827948063	-15.294082880020142
ENST00000519472	CLU	ENSG00000120885.22	103.13495063781738	132.44373003641763	88.1830036186291	110.39285250924026	2	3	0.8550254115920843	22.209848890611156	29.30877939860025
ENST00000514816	PAIP1	ENSG00000172239.14	11.48009967803955	1.336549997329712	-24.9394588807302	-2.9035317318896863	1	1	-2.172407869283335	22.035927148840514	-10.143549680709839
ENST00000647835	COX7B	ENSG00000131174.7	63.88256518046061	32.00129985809326	-44.13366803978125	-22.10829732320407	3	2	-0.6908562283795103	22.02537071657718	-31.881265322367348
ENST00000487271	TRAF3IP3	ENSG00000009790.15	70.92657327651978	46.09787387847901	-56.49709374482563	-34.75176709526097	4	5	-0.46891508818543254	21.745326649564653	-24.82869939804077
ENST00000714422	STK17B	ENSG00000081320.12	123.69419860839844	162.53187370300293	68.93385535503873	90.5778023421829	4	4	0.557292549938218	21.643946987144176	38.83767509460449
ENST00000547743	APAF1	ENSG00000120868.15	233.99725151062012	281.5815010070801	149.206785426877	170.39583096486308	4	2	0.8274945586526622	21.18904553798609	47.58424949645996
ENST00000375466	GPR173	ENSG00000184194.6	34.31082659959793	56.97852563858032	31.66794967812585	52.58961271068619	4	4	0.9229725079983048	20.92166303256034	22.66769903898239
ENST00000429529	HECW1	ENSG00000002746.15	40.798462549845375	66.99636840820312	31.632323147776106	51.9443783604971	3	3	0.7753312544346352	20.312055212720992	26.19790585835775
ENST00000526560	RSRC2	ENSG00000111011.18	62.883548736572266	40.85465049743652	-57.87555467746719	-37.6010197611199	2	2	-0.9203608231449494	20.274534916347292	-22.028898239135742
ENST00000632573	DOCK11	ENSG00000147251.16	53.98180079460144	33.06640100479126	-51.71712746025887	-31.679181691690502	4	4	-0.9580474659791444	20.03794576856837	-20.91539978981018
ENST00000353107	POLR2K	ENSG00000147669.11	28.587200164794922	2.7581250071525574	-22.16366717170374	-2.138375368139897	1	2	-0.7753003807276744	20.025291803563842	-25.829075157642365
ENST00000569021	MPHOSPH6	ENSG00000135698.10	108.0929349263509	63.94693247477213	-46.094532141644244	-26.947004478331205	3	3	-0.4184639318045539	19.14752766331304	-44.146002451578774
