Transcript_ID_clean	gene_name	gene_id	mean_rank_percentile_AC	mean_rank_percentile_TOL	mean_TPM_AC	mean_TPM_TOL	n_samples_AC	n_samples_TOL	Amyloid_Index_max	delta_mean_rank_percentile_TOL_minus_AC	delta_mean_TPM_TOL_minus_AC
ENST00000680169	C1orf174	ENSG00000198912.12	0.8153424963683094	0.9501955525757068	1.1967699527740479	8.529359817504883	1	1	-2.0938257511834353	0.1348530562073974	7.332589864730835
ENST00000507594	SMAD1	ENSG00000170365.10	0.8267180690579953	0.9407755056430886	1.624269962310791	6.950590133666992	1	1	-0.7889206063203689	0.11405743658509337	5.326320171356201
ENST00000474605	GIMAP2	ENSG00000106560.11	0.8532349983238351	0.967180690579953	2.8835699558258057	36.96799850463867	1	1	-0.593177409249132	0.11394569225611795	34.084428548812866
ENST00000618165	SLC25A30	ENSG00000174032.17	0.825868812157783	0.9305508995418482	1.5893499851226807	13.41100025177002	1	1	0.6941909362167794	0.10468208738406526	11.821650266647339
ENST00000542280	CD163	ENSG00000177575.13	0.8646329198793161	0.9624650798971952	1.7973699569702148	11.89229965209961	1	1	-0.7331477484388357	0.09783216001787909	10.094929695129395
ENST00000574551	CLUAP1	ENSG00000103351.13	0.8723768018773047	0.9689797742764554	4.388524949550629	14.661100387573242	2	1	-0.5174175768665272	0.09660297239915072	10.272575438022614
ENST00000237014	TTR	ENSG00000118271.12	0.8318862442731031	0.9261230305062018	1.819790005683899	58.80787181854248	1	2	0.43764809500713503	0.09423678623309872	56.98808181285858
ENST00000596428	ZNF836	ENSG00000196267.14	0.811353223823891	0.8972147726002906	1.0654799938201904	8.278044939041138	1	2	0.08705698363542409	0.08586154877639962	7.212564945220947
ENST00000622507	TUBGCP5	ENSG00000275835.5	0.8124371438149514	0.8948932841658287	1.109429955482483	8.915089845657349	1	3	-0.7814701292830136	0.08245614035087734	7.805659890174866
ENST00000514572	RFC1	ENSG00000035928.17	0.8745669907252207	0.9526776734830708	3.0238800048828125	17.693325519561768	3	4	-1.0105080580004224	0.07811068275785005	14.669445514678955
ENST00000591668	TRIM65	ENSG00000141569.12	0.8288412113085261	0.9043133310984468	1.7052899599075317	6.629300117492676	1	1	-0.256781266782493	0.07547211978992074	4.924010157585144
ENST00000551973	BLTP3B	ENSG00000111647.13	0.8584730137445524	0.9314001564420605	2.8222249150276184	13.638199806213379	2	1	-0.13417190625297856	0.07292714269750811	10.81597489118576
ENST00000536248	EIF3J	ENSG00000104131.13	0.8533914403844005	0.926131411330875	1.4224799871444702	12.245604991912842	1	2	0.07385829210869461	0.07273997094647444	10.823125004768372
ENST00000492318	STAG1	ENSG00000118007.13	0.8399150743099788	0.9114090959883786	1.0797300338745117	3.90487003326416	1	1	0.4481372818786798	0.0714940216783998	2.8251399993896484
ENST00000672857	AFF3	ENSG00000144218.21	0.8547100234663091	0.9223488657950609	1.4638700485229492	9.839913209279379	1	3	-1.1659786786156385	0.06763884232875184	8.37604316075643
ENST00000409481	CATSPER2	ENSG00000166762.19	0.8669264722315342	0.9345401720862666	2.5540799498558044	6.0948100090026855	2	1	0.3557581878617408	0.06761369985473242	3.540730059146881
ENST00000509314	FBXL5	ENSG00000118564.15	0.925796178343949	0.9931388982009163	72.55080342292786	178.9429931640625	2	1	-0.24245016510319176	0.06734271985696727	106.39218974113464
ENST00000508197	CAST	ENSG00000310517.1	0.9027042127612024	0.9697452229299364	7.3277866045633955	22.928000450134277	3	2	-0.9677075302079322	0.06704101016873398	15.600213845570881
ENST00000527580	NUCB2	ENSG00000070081.18	0.8553804894401609	0.9221477260029054	1.4838299751281738	9.2576904296875	1	1	-1.5449484783225205	0.06676723656274453	7.773860454559326
ENST00000510965	SELENOP	ENSG00000250722.6	0.818683651804671	0.8849033411554363	1.3228399753570557	2.4575600624084473	1	1	0.3161136301893374	0.06621968935076539	1.1347200870513916
ENST00000366839	SRP9	ENSG00000143742.14	0.8699072522069505	0.935828025477707	1.9810899496078491	11.040602445602417	1	4	0.8031186167549457	0.06592077327075652	9.059512495994568
ENST00000598491	FCGRT	ENSG00000104870.13	0.8660855961559951	0.9317689127276791	2.711056629816691	15.494249820709229	3	2	0.2046270692340047	0.06568331657168403	12.783193190892538
ENST00000423938	MUC20	ENSG00000176945.18	0.8434238462398034	0.9086992960107274	2.356689929962158	6.056375026702881	1	2	-0.6120020095670753	0.06527544977092403	3.6996850967407227
ENST00000564557	CNOT1	ENSG00000125107.19	0.846954967035423	0.9122108615487764	1.4920899868011475	7.96400249004364	2	4	0.4126756079755249	0.06525589451335345	6.471912503242493
ENST00000418101	MAP4K4	ENSG00000071054.17	0.9082858419935188	0.9734271985696726	25.752414524555206	45.65370178222656	2	1	-1.169964590427742	0.06514135657615383	19.901287257671356
ENST00000483373	PLS1	ENSG00000120756.13	0.8592915409542966	0.924416135881104	3.2613000869750977	9.651280403137207	1	1	-1.9547276236333446	0.06512459492680744	6.389980316162109
ENST00000494258	CFLAR	ENSG00000003402.21	0.881558460908109	0.9465219577606436	3.972260077794393	15.786824941635132	3	4	0.261532271671033	0.06496349685253466	11.814564863840738
ENST00000452499	KRTCAP3	ENSG00000157992.12	0.8841099564197117	0.9490166499050173	2.546799898147583	11.828200340270996	1	2	-0.13712608401733045	0.06490669348530564	9.281400442123413
ENST00000535738	ATF7IP	ENSG00000171681.13	0.8129288188624427	0.8769136216337021	1.123270034790039	5.255630016326904	1	1	-0.9650761146635046	0.0639848027712594	4.132359981536865
ENST00000594681	ZNF677	ENSG00000197928.11	0.8472957872387976	0.910610124036205	1.7823449969291687	7.494739890098572	2	4	-0.2483852673024182	0.06331433679740739	5.712394893169403
ENST00000421525	ZNF561	ENSG00000171469.11	0.8839353559056877	0.9470555369315008	4.830479919910431	14.656510353088379	4	2	-0.879946295572257	0.06312018102581307	9.826030433177948
ENST00000543407	NPIPB5	ENSG00000243716.13	0.8451670577718181	0.9079785450888368	2.440040111541748	8.992159843444824	1	1	0.8386449657938527	0.06281148731701869	6.552119731903076
ENST00000483260	LAMTOR5	ENSG00000134248.14	0.8886914739076992	0.9514247401944351	4.1846349239349365	16.168049812316895	2	2	0.7778705656856924	0.06273326628673592	11.983414888381958
ENST00000512872	LECT2	ENSG00000145826.9	0.8656218571907476	0.9262431556598503	2.4846699237823486	8.350329875946045	1	2	-0.4946739460382684	0.06062129846910269	5.865659952163696
ENST00000314523	SUMO2	ENSG00000188612.12	0.9211867247737178	0.9811599061347637	10.809700012207031	48.359798431396484	1	1	-0.6146084058066597	0.0599731813610459	37.55009841918945
ENST00000374974	PAGE2B	ENSG00000238269.9	0.8544641859425635	0.9139624539054643	2.4663649797439575	9.351884841918945	2	2	-1.5902917761024065	0.05949826796290081	6.885519862174988
ENST00000585994	ZNF565	ENSG00000196357.12	0.8801039222259469	0.9389875963794837	3.7025800546010337	6.6934099197387695	3	1	-0.16894633234612416	0.05888367415353679	2.990829865137736
ENST00000438357	RPS6KA3	ENSG00000177189.14	0.8426807464521175	0.9011342049390993	1.1480400562286377	5.18193507194519	1	2	-0.6207336966148498	0.0584534584869818	4.033895015716553
ENST00000557214	ZNF410	ENSG00000119725.21	0.8798664655268745	0.9381830372108615	3.339945077896118	13.514034986495972	2	4	0.10539688839744606	0.05831657168398696	10.174089908599854
ENST00000671880	TNK2	ENSG00000061938.21	0.865135769359705	0.9226896859984356	3.648329973220825	11.637200355529785	1	1	-0.6693884198472675	0.05755391663873055	7.98887038230896
ENST00000556533	PSEN1	ENSG00000080815.20	0.8996424181472791	0.9571237009721757	7.284735202789307	23.968299865722656	2	1	-0.5324524778090055	0.05748128282489662	16.68356466293335
ENST00000508346	DHX29	ENSG00000067248.11	0.8637277908146161	0.9211978992066152	3.5597798824310303	4.678190231323242	1	1	-0.406627578388259	0.057470108391999064	1.118410348892212
ENST00000504171	NSG1	ENSG00000168824.15	0.8502123142250531	0.9074142362275115	1.9463199377059937	5.2071850299835205	2	2	0.45247715313205594	0.05720192200245844	3.260865092277527
ENST00000491281	NFKBIZ	ENSG00000144802.11	0.8375740306179461	0.8941501843781428	2.079050064086914	5.010124921798706	1	2	-0.7291763061304823	0.056576153760196646	2.931074857711792
ENST00000456626	JOSD1	ENSG00000100221.11	0.896927030953179	0.9533579170857079	6.084506630897522	9.282600402832031	3	1	-0.041183317575100006	0.05643088613252889	3.1980937719345093
ENST00000588140	ZNF45	ENSG00000124459.12	0.8725667672365628	0.9285395016202928	4.236869812011719	12.929400444030762	1	1	-0.038939230655865534	0.05597273438372996	8.692530632019043
ENST00000391836	SMYD3	ENSG00000185420.19	0.8459325064252989	0.9007509218907142	1.4900200366973877	10.122626161575317	2	5	-0.2648777248594036	0.054818415465415216	8.63260612487793
ENST00000559222	GOLM2	ENSG00000166734.20	0.8970089767944277	0.95135769359705	7.318983356157939	19.464890003204346	3	4	-0.8676729848028792	0.05434871680262232	12.145906647046406
ENST00000624900	AAK1	ENSG00000115977.21	0.8616381718627779	0.915970127016054	2.7972350120544434	7.391416708628337	2	3	-1.1739823734942134	0.054331955153276046	4.5941816965738935
ENST00000529489	LGALS8	ENSG00000116977.19	0.8791429209967594	0.9334506648787574	2.5773849487304688	24.653978049755096	2	4	0.708383075599755	0.054307743881997994	22.076593101024628
ENST00000677369	G3BP1	ENSG00000145907.16	0.9110626885685551	0.9651692926583976	8.927579879760742	29.993499755859375	1	1	0.39661519781024984	0.05410660408984247	21.065919876098633
ENST00000377270	FXN	ENSG00000165060.15	0.8383841770030172	0.8921555481059336	2.114720106124878	5.956994831562042	1	4	-0.4037640680957879	0.05377137110291641	3.8422747254371643
ENST00000487783	APOL3	ENSG00000128284.21	0.8476477818750698	0.9000279360822439	1.7059400081634521	5.055354833602905	1	2	-0.5289390701509479	0.05238015420717401	3.349414825439453
ENST00000375677	NOL4L	ENSG00000197183.15	0.8156442060565426	0.8656442060565426	1.2077399492263794	3.436890035867691	1	4	-0.20016044955318396	0.04999999999999993	2.2291500866413116
ENST00000375920	APOM	ENSG00000204444.11	0.8464241814727903	0.8963012627109175	1.6629400253295898	4.193005084991455	1	2	-0.20369803199944733	0.049877081238127174	2.5300650596618652
ENST00000517720	MTERF3	ENSG00000156469.9	0.8673818303721086	0.9167504749133981	3.828249931335449	8.276909828186035	1	1	-1.098821796715864	0.04936864454128953	4.448659896850586
ENST00000591250	PSMD8	ENSG00000099341.13	0.8331238127165046	0.8817856743770255	1.5605549812316895	4.82260000705719	2	3	0.7967654582898976	0.04866186166052089	3.2620450258255005
ENST00000544943	TULP3	ENSG00000078246.17	0.8111744328975304	0.8596770588892614	1.06003999710083	4.167530059814453	1	2	-0.4254730371016676	0.04850262599173094	3.107490062713623
ENST00000471675	B4GALT4	ENSG00000121578.13	0.8506369426751592	0.8990389987708124	2.2380749583244324	6.088359832763672	2	1	-0.15134345287534262	0.04840205609565318	3.8502848744392395
ENST00000448850	APP	ENSG00000142192.22	0.879889745595411	0.9279989384288747	6.269513487815857	11.352585077285767	3	4	-0.7268810451185359	0.04810919283346371	5.08307158946991
ENST00000451849	ZNF776	ENSG00000152443.13	0.8740976645435244	0.9220639177561739	2.274436632792155	8.016334772109985	3	2	-0.0013877579805386287	0.04796625321264947	5.741898139317831
ENST00000525685	CD44	ENSG00000026508.21	0.8240920773270757	0.871799456177599	1.5265400409698486	5.328186829884847	1	3	-1.0404839165158575	0.04770737885052334	3.801646788914998
ENST00000559760	KATNBL1	ENSG00000134152.11	0.8719298245614036	0.9194044027265617	4.12470006942749	9.468974828720093	2	2	1.1866996880590341	0.0474745781651581	5.3442747592926025
ENST00000522370	TBCA	ENSG00000171530.15	0.8882333221589005	0.935353112079562	4.708619832992554	12.361384868621826	2	4	-1.1780552038774705	0.04711978992066146	7.6527650356292725
ENST00000539409	SINHCAF	ENSG00000139146.14	0.8580833053972511	0.9047454091704846	2.673602521419525	6.292313416798909	4	3	-0.04597083380854372	0.04666210377323354	3.618710895379384
ENST00000569489	ZWILCH	ENSG00000174442.12	0.8857861213543413	0.9308488844191157	3.7272199392318726	15.886026859283447	2	3	-0.029418683430801694	0.045062763064774414	12.158806920051575
ENST00000582204	DMTF1	ENSG00000135164.19	0.9031623645100011	0.9480947591909711	7.7026801109313965	19.073200225830078	1	1	-1.0130663865411254	0.04493239468096999	11.370520114898682
ENST00000546581	PRR13	ENSG00000205352.11	0.9506537043245055	0.9953067381830372	98.04145161310832	154.9114990234375	3	2	-2.607226448380351	0.0446530338585317	56.87004741032918
ENST00000688231	MED12	ENSG00000184634.17	0.8225388311543189	0.8670242485193876	1.4702099561691284	3.4182701110839844	1	1	-0.8628757319041522	0.044485417365068725	1.948060154914856
ENST00000602318	LAMTOR5	ENSG00000134248.14	0.882900324058554	0.9267543859649123	3.613384962081909	8.35294508934021	2	2	0.01677033424330463	0.04385406190635832	4.739560127258301
ENST00000464803	HK1	ENSG00000156515.25	0.8371996871158789	0.8808386411889597	2.0620999336242676	5.382390022277832	1	2	-0.23553935343487012	0.04363895407308083	3.3202900886535645
