Transcript_ID_clean	metric	gene_id	gene_name	protein_coding_class	n	n_AC	n_TOL	n_AC_TPM_ge_1	n_TOL_TPM_ge_1	mean_AC	mean_TOL	median_AC	median_TOL	delta_AC_minus_TOL	cohen_d	welch_p_value	mannwhitney_p_value	estimate_adjusted_AC_minus_TOL	ci_low	ci_high	p_value	mean_TPM_AC	mean_TPM_TOL	mean_log2TPM_AC	mean_log2TPM_TOL	KDmax	n_protein_rows_max_per_sample	FDR	direction	abs_effect	minus_log10_p	minus_log10_FDR
ENST00000642080	burden_contribution_log2TPM	ENSG00000196184.10	OR10J1	Amyloidogenic	7	3	4	3	4	2.659360283836463	1.6355947625621534	2.6418257553328064	1.7443333131428025	1.0237655212743098	3.9346555406441976	0.006989906727430869	0.05714285714285714	1.0237655212743093	0.5993559313254524	1.4481751112231662	2.2691321003897105e-06	5.328256666666667	2.17322	2.659360283836463	1.6355947625621534	3.71428571428571	2	0.0007306605363254868	higher_in_AC	3.9346555406441976	5.64414022037759	3.136284348681759
ENST00000382044	kdmax_weighted_fraction_contribution_log2TPM	ENSG00000067369.14	TP53BP1	Amyloidogenic	7	3	4	3	4	3.1800486107066384e-05	4.789107000118766e-05	2.869218036947216e-05	4.7394486700940706e-05	-1.6090583894121276e-05	-3.678779901191149	0.019684833567261566	0.05714285714285714	-1.609058389412127e-05	-2.431650486383201e-05	-7.864662924410526e-06	0.00012615197611703957	1.7589966666666665	3.4209325	1.4092710905630828	2.095549269631944	2.88571428571429	2	0.040620936309686745	higher_in_TOL	3.678779901191149	3.899105942054817	1.3912500703589858
ENST00000373825	burden_contribution_log2TPM	ENSG00000096063.16	SRPK1	Amyloidogenic	7	3	4	3	4	6.265996704091311	4.761835754041094	6.261113290938778	4.928141641995188	1.5041609500502169	2.946331771888193	0.018447892002168852	0.05714285714285714	1.5041609500502167	0.6732969764824744	2.3350249236179588	0.00038782086811617675	76.39943333333333	28.331225000000003	6.265996704091311	4.761835754041094	2.77142857142857	2	0.06243915976670446	higher_in_AC	2.946331771888193	3.411368825830115	1.2045429497982654
ENST00000382044	fraction_contribution_log2TPM	ENSG00000067369.14	TP53BP1	Amyloidogenic	7	3	4	3	4	2.756868181662435e-05	4.142194054777162e-05	2.4869392528122035e-05	4.0740659825136646e-05	-1.385325873114727e-05	-3.444395771414219	0.024642749913550564	0.05714285714285714	-1.3853258731147266e-05	-2.1435665357285588e-05	-6.270852105008945e-06	0.0003424043502914407	1.7589966666666665	3.4209325	1.4092710905630828	2.095549269631944	2.88571428571429	2	0.1102542007938439	higher_in_TOL	3.444395771414219	3.4654607261924153	0.9576048544965845
ENST00000370323	burden_contribution_log2TPM	ENSG00000124260.12	MAGEA10	Amyloidogenic	7	4	3	4	3	2.348839515765786	2.9657702255156	2.401186914255474	3.073300975251646	-0.616930709749814	-2.3105433066250876	0.02667282650712657	0.05714285714285714	-0.6169307097498136	-1.0722213004123613	-0.16164011908726583	0.007911989398001305	4.1871075	6.8595266666666666	2.348839515765786	2.9657702255156	3.5	2	0.8004679110968297	higher_in_TOL	2.3105433066250876	2.1017143033614096	0.09665607325486897
ENST00000676508	burden_contribution_log2TPM	ENSG00000138398.17	PPIG	Amyloidogenic	7	4	3	4	3	2.339814788606032	1.6173476167647778	2.2228285436889044	1.6953034697851705	0.7224671718412543	2.2432663987501416	0.02953099535434703	0.05714285714285714	0.7224671718412548	0.17315376675218386	1.2717805769303256	0.009943700758966828	4.21096	2.0952133333333336	2.339814788606032	1.6173476167647778	2.28571428571429	2	0.8004679110968297	higher_in_AC	2.2432663987501416	2.0024519536227374	0.09665607325486897
ENST00000374466	fraction_contribution_log2TPM	ENSG00000169826.8	CSGALNACT2	Amyloidogenic	6	3	3	3	3	8.5417098137747e-05	6.114129760984508e-05	8.944772377209273e-05	6.084837644929688e-05	2.4275800527901923e-05	2.3948983791500376	0.09667177940045299	0.1	2.4275800527901923e-05	4.408696710556451e-06	4.4142904345247395e-05	0.016624972225739717	17.070033333333335	8.21335	4.1340416591170035	3.1119033780267995	3.01428571428571	2	0.842632144087108	higher_in_AC	2.3948983791500376	1.7792390715718085	0.07436197775915236
ENST00000337979	fraction_contribution_log2TPM	ENSG00000166900.17	STX3	Amyloidogenic	6	3	3	3	3	0.00011563685768611392	9.012579421491776e-05	0.00012176449495600707	8.87841532946879e-05	2.551106347119616e-05	2.2482676685352105	0.10051087165574124	0.1	2.551106347119616e-05	3.271378085587113e-06	4.775074885680521e-05	0.024559127040842184	44.946933333333334	24.591066666666666	5.511445657560398	4.559239494776629	4.31428571428571	3	0.842632144087108	higher_in_AC	2.2482676685352105	1.6097870743420695	0.07436197775915236
ENST00000343399	fraction_contribution_log2TPM	ENSG00000197706.5	OR6C74	Amyloidogenic	6	3	3	3	3	7.335787058873399e-05	5.7472110171315594e-05	7.374853725999859e-05	5.73125045348646e-05	1.58857604174184e-05	2.212823533637263	0.0807095497772603	0.1	1.588576041741838e-05	1.8152673067481664e-06	2.995625352808859e-05	0.026909814137071705	11.711979999999999	7.411676666666668	3.648290227172987	2.947363940766106	3.91428571428571	2	0.842632144087108	higher_in_AC	2.212823533637263	1.5700893018469073	0.07436197775915236
ENST00000676508	fraction_contribution_log2TPM	ENSG00000138398.17	PPIG	Amyloidogenic	7	4	3	4	3	4.9474178326027455e-05	3.0230617105048306e-05	4.97992059896145e-05	3.315226045441944e-05	1.924356122097915e-05	2.1660829974717783	0.03357904970019387	0.05714285714285714	1.924356122097916e-05	4.172821381098867e-06	3.431430106085945e-05	0.012326969205737351	4.21096	2.0952133333333336	2.339814788606032	1.6173476167647778	2.28571428571429	2	0.842632144087108	higher_in_AC	2.1660829974717783	1.9091436889373474	0.07436197775915236
