sample	STATUS	LEN_H1	LOSS	TRANSCRIPT_ID	LEN_H2	Transcript_ID_clean	Group	raw_Group	subject
SRR32060276	H2_TRUNCATED	56	-11	ENST00000312726.9	45	ENST00000312726	TOL	chili	N132
SRR32060276	H2_TRUNCATED	168	-99	ENST00000318160.5	69	ENST00000318160	TOL	chili	N132
SRR32060276	H2_TRUNCATED	92	-28	ENST00000341298.3	64	ENST00000341298	TOL	chili	N132
SRR32060276	H2_TRUNCATED	184	-42	ENST00000366654.5	142	ENST00000366654	TOL	chili	N132
SRR32060276	H2_TRUNCATED	138	-108	ENST00000367194.5	30	ENST00000367194	TOL	chili	N132
SRR32060276	H2_TRUNCATED	92	-28	ENST00000368400.5	64	ENST00000368400	TOL	chili	N132
SRR32060276	H2_TRUNCATED	110	-37	ENST00000368780.4	73	ENST00000368780	TOL	chili	N132
SRR32060276	H2_TRUNCATED	68	-24	ENST00000370645.9	44	ENST00000370645	TOL	chili	N132
SRR32060276	H2_TRUNCATED	78	-22	ENST00000372244.3	56	ENST00000372244	TOL	chili	N132
SRR32060276	H2_TRUNCATED	55	-17	ENST00000417456.1	38	ENST00000417456	TOL	chili	N132
SRR32060276	H2_TRUNCATED	99	-24	ENST00000423313.6	75	ENST00000423313	TOL	chili	N132
SRR32060276	H2_TRUNCATED	71	-59	ENST00000443059.1	12	ENST00000443059	TOL	chili	N132
SRR32060276	H2_TRUNCATED	57	-46	ENST00000461647.6	11	ENST00000461647	TOL	chili	N132
SRR32060276	H2_TRUNCATED	68	-37	ENST00000468040.2	31	ENST00000468040	TOL	chili	N132
SRR32060276	H2_TRUNCATED	76	-55	ENST00000494926.5	21	ENST00000494926	TOL	chili	N132
SRR32060276	H2_TRUNCATED	55	-15	ENST00000504358.1	40	ENST00000504358	TOL	chili	N132
SRR32060276	H2_TRUNCATED	94	-65	ENST00000525948.5	29	ENST00000525948	TOL	chili	N132
SRR32060276	H2_TRUNCATED	41	-40	ENST00000529027.5	1	ENST00000529027	TOL	chili	N132
SRR32060276	H2_TRUNCATED	89	-62	ENST00000533089.5	27	ENST00000533089	TOL	chili	N132
SRR32060276	H2_TRUNCATED	78	-58	ENST00000650532.1	20	ENST00000650532	TOL	chili	N132
SRR32060276	H2_TRUNCATED	43	-28	ENST00000664418.1	15	ENST00000664418	TOL	chili	N132
SRR32060276	H2_TRUNCATED	73	-69	ENST00000678559.1	4	ENST00000678559	TOL	chili	N132
SRR32060276	H2_TRUNCATED	91	-51	ENST00000678842.1	40	ENST00000678842	TOL	chili	N132
SRR32060276	H2_TRUNCATED	52	-26	ENST00000679709.1	26	ENST00000679709	TOL	chili	N132
SRR32060276	H2_TRUNCATED	68	-24	ENST00000686161.1	44	ENST00000686161	TOL	chili	N132
SRR32060276	H2_TRUNCATED	470	-181	ENST00000692350.1	289	ENST00000692350	TOL	chili	N132
SRR32060306	H2_TRUNCATED	232	-95	ENST00000259053.6	137	ENST00000259053	TOL	chili	N101
SRR32060306	H2_TRUNCATED	253	-149	ENST00000263697.6	104	ENST00000263697	TOL	chili	N101
SRR32060306	H1_TRUNCATED	29	-37	ENST00000292079.7	66	ENST00000292079	TOL	chili	N101
SRR32060306	H2_TRUNCATED	819	-124	ENST00000295321.9	695	ENST00000295321	TOL	chili	N101
SRR32060306	H1_TRUNCATED	99	-44	ENST00000375167.1	143	ENST00000375167	TOL	chili	N101
SRR32060306	H1_TRUNCATED	147	-98	ENST00000395468.9	245	ENST00000395468	TOL	chili	N101
SRR32060306	H1_TRUNCATED	109	-83	ENST00000424149.6	192	ENST00000424149	TOL	chili	N101
SRR32060306	H2_TRUNCATED	23	-20	ENST00000448119.2	3	ENST00000448119	TOL	chili	N101
SRR32060306	H2_TRUNCATED	1873	-95	ENST00000504764.5	1778	ENST00000504764	TOL	chili	N101
SRR32060306	H2_TRUNCATED	1817	-95	ENST00000505052.1	1722	ENST00000505052	TOL	chili	N101
SRR32060306	H1_TRUNCATED	27	-29	ENST00000519533.1	56	ENST00000519533	TOL	chili	N101
SRR32060306	H1_TRUNCATED	15	-38	ENST00000520333.1	53	ENST00000520333	TOL	chili	N101
SRR32060306	H1_TRUNCATED	13	-23	ENST00000523764.1	36	ENST00000523764	TOL	chili	N101
SRR32060306	H1_TRUNCATED	56	-160	ENST00000524821.6	216	ENST00000524821	TOL	chili	N101
SRR32060306	H1_TRUNCATED	42	-17	ENST00000525141.1	59	ENST00000525141	TOL	chili	N101
SRR32060306	H1_TRUNCATED	10	-101	ENST00000526752.3	111	ENST00000526752	TOL	chili	N101
SRR32060306	H1_TRUNCATED	11	-21	ENST00000529704.5	32	ENST00000529704	TOL	chili	N101
SRR32060306	H1_TRUNCATED	7	-30	ENST00000529790.5	37	ENST00000529790	TOL	chili	N101
SRR32060306	H1_TRUNCATED	5	-55	ENST00000531384.1	60	ENST00000531384	TOL	chili	N101
SRR32060306	H1_TRUNCATED	123	-12	ENST00000533341.3	135	ENST00000533341	TOL	chili	N101
SRR32060306	H1_TRUNCATED	34	-28	ENST00000611224.1	62	ENST00000611224	TOL	chili	N101
SRR32060306	H1_TRUNCATED	46	-40	ENST00000622051.1	86	ENST00000622051	TOL	chili	N101
SRR32060306	H2_TRUNCATED	818	-123	ENST00000637187.2	695	ENST00000637187	TOL	chili	N101
SRR32060306	H1_TRUNCATED	17	-21	ENST00000642478.1	38	ENST00000642478	TOL	chili	N101
SRR32060306	H1_TRUNCATED	14	-42	ENST00000642706.1	56	ENST00000642706	TOL	chili	N101
SRR32060306	H1_TRUNCATED	39	-21	ENST00000648695.2	60	ENST00000648695	TOL	chili	N101
SRR32060306	H1_TRUNCATED	83	-70	ENST00000651397.1	153	ENST00000651397	TOL	chili	N101
SRR32060306	H1_TRUNCATED	15	-13	ENST00000700495.1	28	ENST00000700495	TOL	chili	N101
SRR32060306	H1_TRUNCATED	63	-71	ENST00000706920.2	134	ENST00000706920	TOL	chili	N101
SRR32060309	H1_TRUNCATED	17	-27	ENST00000233143.6	44	ENST00000233143	AC	control	N87
SRR32060309	H1_TRUNCATED	7	-68	ENST00000361493.10	75	ENST00000361493	AC	control	N87
SRR32060309	H1_TRUNCATED	43	-11	ENST00000409456.2	54	ENST00000409456	AC	control	N87
SRR32060309	H1_TRUNCATED	36	-34	ENST00000409710.1	70	ENST00000409710	AC	control	N87
SRR32060309	H1_TRUNCATED	9	-51	ENST00000413578.5	60	ENST00000413578	AC	control	N87
SRR32060309	H1_TRUNCATED	7	-82	ENST00000418996.5	89	ENST00000418996	AC	control	N87
SRR32060309	H1_TRUNCATED	2	-35	ENST00000420864.5	37	ENST00000420864	AC	control	N87
SRR32060309	H1_TRUNCATED	29	-33	ENST00000425030.1	62	ENST00000425030	AC	control	N87
SRR32060309	H1_TRUNCATED	20	-21	ENST00000433439.1	41	ENST00000433439	AC	control	N87
SRR32060309	H1_TRUNCATED	19	-52	ENST00000447814.1	71	ENST00000447814	AC	control	N87
SRR32060309	H1_TRUNCATED	2	-103	ENST00000450256.1	105	ENST00000450256	AC	control	N87
SRR32060309	H1_TRUNCATED	6	-84	ENST00000458426.5	90	ENST00000458426	AC	control	N87
SRR32060309	H1_TRUNCATED	17	-36	ENST00000476840.5	53	ENST00000476840	AC	control	N87
SRR32060309	H1_TRUNCATED	51	-13	ENST00000482772.5	64	ENST00000482772	AC	control	N87
SRR32060309	H1_TRUNCATED	40	-21	ENST00000483426.5	61	ENST00000483426	AC	control	N87
SRR32060309	H1_TRUNCATED	9	-30	ENST00000608781.1	39	ENST00000608781	AC	control	N87
SRR32060309	H1_TRUNCATED	7	-82	ENST00000629438.2	89	ENST00000629438	AC	control	N87
SRR32060309	H1_TRUNCATED	5	-31	ENST00000677377.1	36	ENST00000677377	AC	control	N87
SRR32060309	H1_TRUNCATED	15	-83	ENST00000703745.1	98	ENST00000703745	AC	control	N87
SRR32060309	H1_TRUNCATED	1	-44	ENST00000706565.1	45	ENST00000706565	AC	control	N87
SRR32060309	H1_TRUNCATED	29	-87	ENST00000713756.1	116	ENST00000713756	AC	control	N87
SRR32060312	H1_TRUNCATED	364	-116	ENST00000286353.9	480	ENST00000286353	AC	control	N106
SRR32060312	H2_TRUNCATED	819	-124	ENST00000295321.9	695	ENST00000295321	AC	control	N106
SRR32060312	H2_TRUNCATED	168	-100	ENST00000318160.5	68	ENST00000318160	AC	control	N106
SRR32060312	H2_TRUNCATED	92	-29	ENST00000341298.3	63	ENST00000341298	AC	control	N106
SRR32060312	H2_TRUNCATED	184	-43	ENST00000366654.5	141	ENST00000366654	AC	control	N106
SRR32060312	H2_TRUNCATED	36	-34	ENST00000367364.5	2	ENST00000367364	AC	control	N106
SRR32060312	H2_TRUNCATED	92	-29	ENST00000368400.5	63	ENST00000368400	AC	control	N106
SRR32060312	H2_TRUNCATED	68	-25	ENST00000370645.9	43	ENST00000370645	AC	control	N106
SRR32060312	H2_TRUNCATED	78	-24	ENST00000372244.3	54	ENST00000372244	AC	control	N106
SRR32060312	H1_TRUNCATED	13	-35	ENST00000435225.5	48	ENST00000435225	AC	control	N106
SRR32060312	H2_TRUNCATED	71	-58	ENST00000443059.1	13	ENST00000443059	AC	control	N106
SRR32060312	H2_TRUNCATED	56	-38	ENST00000459772.5	18	ENST00000459772	AC	control	N106
SRR32060312	H2_TRUNCATED	57	-47	ENST00000461647.6	10	ENST00000461647	AC	control	N106
SRR32060312	H2_TRUNCATED	77	-31	ENST00000462250.2	46	ENST00000462250	AC	control	N106
SRR32060312	H2_TRUNCATED	104	-83	ENST00000471623.1	21	ENST00000471623	AC	control	N106
SRR32060312	H2_TRUNCATED	56	-38	ENST00000481744.5	18	ENST00000481744	AC	control	N106
SRR32060312	H1_TRUNCATED	18	-24	ENST00000491070.1	42	ENST00000491070	AC	control	N106
SRR32060312	H2_TRUNCATED	76	-56	ENST00000494926.5	20	ENST00000494926	AC	control	N106
SRR32060312	H2_TRUNCATED	76	-32	ENST00000496465.1	44	ENST00000496465	AC	control	N106
SRR32060312	H2_TRUNCATED	61	-54	ENST00000530441.5	7	ENST00000530441	AC	control	N106
SRR32060312	H2_TRUNCATED	153	-90	ENST00000612897.4	63	ENST00000612897	AC	control	N106
SRR32060312	H2_TRUNCATED	97	-34	ENST00000613460.4	63	ENST00000613460	AC	control	N106
SRR32060312	H2_TRUNCATED	116	-91	ENST00000629151.2	25	ENST00000629151	AC	control	N106
SRR32060312	H2_TRUNCATED	42	-15	ENST00000650521.1	27	ENST00000650521	AC	control	N106
SRR32060312	H2_TRUNCATED	78	-59	ENST00000650532.1	19	ENST00000650532	AC	control	N106
SRR32060312	H2_TRUNCATED	73	-68	ENST00000678559.1	5	ENST00000678559	AC	control	N106
SRR32060312	H2_TRUNCATED	52	-25	ENST00000679709.1	27	ENST00000679709	AC	control	N106
SRR32060312	H2_TRUNCATED	68	-25	ENST00000686161.1	43	ENST00000686161	AC	control	N106
SRR32060312	H2_TRUNCATED	63	-18	ENST00000699554.1	45	ENST00000699554	AC	control	N106
SRR32060326	H2_TRUNCATED	261	-92	ENST00000044462.12	169	ENST00000044462	AC	control	N032
SRR32060326	H2_TRUNCATED	717	-490	ENST00000216832.9	227	ENST00000216832	AC	control	N032
SRR32060326	H2_TRUNCATED	125	-101	ENST00000247665.12	24	ENST00000247665	AC	control	N032
SRR32060326	H2_TRUNCATED	114	-90	ENST00000260379.11	24	ENST00000260379	AC	control	N032
SRR32060326	H2_TRUNCATED	664	-114	ENST00000268154.9	550	ENST00000268154	AC	control	N032
SRR32060326	H2_TRUNCATED	77	-60	ENST00000275036.11	17	ENST00000275036	AC	control	N032
SRR32060326	H1_TRUNCATED	213	-182	ENST00000276520.12	395	ENST00000276520	AC	control	N032
SRR32060326	H2_TRUNCATED	170	-25	ENST00000281830.4	145	ENST00000281830	AC	control	N032
SRR32060326	H1_TRUNCATED	29	-37	ENST00000292079.7	66	ENST00000292079	AC	control	N032
SRR32060326	H2_TRUNCATED	104	-25	ENST00000292641.4	79	ENST00000292641	AC	control	N032
SRR32060326	H2_TRUNCATED	1378	-887	ENST00000302987.10	491	ENST00000302987	AC	control	N032
SRR32060326	H2_TRUNCATED	258	-174	ENST00000325980.10	84	ENST00000325980	AC	control	N032
SRR32060326	H2_TRUNCATED	683	-310	ENST00000330276.4	373	ENST00000330276	AC	control	N032
SRR32060326	H1_TRUNCATED	109	-20	ENST00000331380.4	129	ENST00000331380	AC	control	N032
SRR32060326	H2_TRUNCATED	325	-78	ENST00000332810.4	247	ENST00000332810	AC	control	N032
SRR32060326	H2_TRUNCATED	136	-81	ENST00000343666.6	55	ENST00000343666	AC	control	N032
SRR32060326	H2_TRUNCATED	560	-376	ENST00000346246.10	184	ENST00000346246	AC	control	N032
SRR32060326	H2_TRUNCATED	390	-108	ENST00000355059.9	282	ENST00000355059	AC	control	N032
SRR32060326	H2_TRUNCATED	1150	-327	ENST00000360468.7	823	ENST00000360468	AC	control	N032
SRR32060326	H1_TRUNCATED	2	-51	ENST00000368696.3	53	ENST00000368696	AC	control	N032
SRR32060326	H2_TRUNCATED	117	-36	ENST00000371739.3	81	ENST00000371739	AC	control	N032
SRR32060326	H2_TRUNCATED	294	-268	ENST00000372043.7	26	ENST00000372043	AC	control	N032
SRR32060326	H2_TRUNCATED	28	-23	ENST00000376099.5	5	ENST00000376099	AC	control	N032
SRR32060326	H2_TRUNCATED	115	-48	ENST00000390396.1	67	ENST00000390396	AC	control	N032
SRR32060326	H2_TRUNCATED	1434	-309	ENST00000394510.6	1125	ENST00000394510	AC	control	N032
SRR32060326	H2_TRUNCATED	317	-130	ENST00000394885.8	187	ENST00000394885	AC	control	N032
SRR32060326	H2_TRUNCATED	347	-231	ENST00000395205.6	116	ENST00000395205	AC	control	N032
SRR32060326	H2_TRUNCATED	96	-36	ENST00000397143.3	60	ENST00000397143	AC	control	N032
SRR32060326	H2_TRUNCATED	216	-102	ENST00000397682.7	114	ENST00000397682	AC	control	N032
SRR32060326	H2_TRUNCATED	101	-25	ENST00000408925.4	76	ENST00000408925	AC	control	N032
SRR32060326	H2_TRUNCATED	77	-15	ENST00000412663.5	62	ENST00000412663	AC	control	N032
SRR32060326	H2_TRUNCATED	62	-53	ENST00000413197.5	9	ENST00000413197	AC	control	N032
SRR32060326	H2_TRUNCATED	190	-92	ENST00000413382.6	98	ENST00000413382	AC	control	N032
SRR32060326	H2_TRUNCATED	96	-91	ENST00000415497.6	5	ENST00000415497	AC	control	N032
SRR32060326	H2_TRUNCATED	14	-12	ENST00000416447.1	2	ENST00000416447	AC	control	N032
SRR32060326	H2_TRUNCATED	944	-802	ENST00000418476.2	142	ENST00000418476	AC	control	N032
SRR32060326	H2_TRUNCATED	68	-54	ENST00000419085.5	14	ENST00000419085	AC	control	N032
SRR32060326	H1_TRUNCATED	16	-99	ENST00000423014.3	115	ENST00000423014	AC	control	N032
SRR32060326	H2_TRUNCATED	112	-36	ENST00000426163.5	76	ENST00000426163	AC	control	N032
SRR32060326	H2_TRUNCATED	45	-26	ENST00000426297.1	19	ENST00000426297	AC	control	N032
SRR32060326	H2_TRUNCATED	59	-17	ENST00000428404.5	42	ENST00000428404	AC	control	N032
SRR32060326	H2_TRUNCATED	37	-31	ENST00000429938.1	6	ENST00000429938	AC	control	N032
SRR32060326	H2_TRUNCATED	69	-64	ENST00000430372.1	5	ENST00000430372	AC	control	N032
SRR32060326	H2_TRUNCATED	48	-18	ENST00000435225.5	30	ENST00000435225	AC	control	N032
SRR32060326	H2_TRUNCATED	54	-13	ENST00000435792.5	41	ENST00000435792	AC	control	N032
SRR32060326	H2_TRUNCATED	128	-74	ENST00000439036.5	54	ENST00000439036	AC	control	N032
SRR32060326	H2_TRUNCATED	133	-79	ENST00000441508.4	54	ENST00000441508	AC	control	N032
SRR32060326	H2_TRUNCATED	45	-42	ENST00000442563.5	3	ENST00000442563	AC	control	N032
SRR32060326	H2_TRUNCATED	24	-12	ENST00000444081.5	12	ENST00000444081	AC	control	N032
SRR32060326	H2_TRUNCATED	40	-33	ENST00000460390.6	7	ENST00000460390	AC	control	N032
SRR32060326	H2_TRUNCATED	146	-15	ENST00000460587.1	131	ENST00000460587	AC	control	N032
SRR32060326	H2_TRUNCATED	36	-18	ENST00000462075.1	18	ENST00000462075	AC	control	N032
SRR32060326	H2_TRUNCATED	43	-19	ENST00000463690.2	24	ENST00000463690	AC	control	N032
SRR32060326	H2_TRUNCATED	128	-66	ENST00000464525.5	62	ENST00000464525	AC	control	N032
SRR32060326	H2_TRUNCATED	56	-49	ENST00000465160.2	7	ENST00000465160	AC	control	N032
SRR32060326	H1_TRUNCATED	40	-32	ENST00000466480.2	72	ENST00000466480	AC	control	N032
SRR32060326	H1_TRUNCATED	17	-21	ENST00000470743.5	38	ENST00000470743	AC	control	N032
SRR32060326	H2_TRUNCATED	51	-12	ENST00000471475.1	39	ENST00000471475	AC	control	N032
SRR32060326	H2_TRUNCATED	164	-120	ENST00000471529.6	44	ENST00000471529	AC	control	N032
SRR32060326	H2_TRUNCATED	30	-18	ENST00000475359.6	12	ENST00000475359	AC	control	N032
SRR32060326	H1_TRUNCATED	14	-12	ENST00000477118.2	26	ENST00000477118	AC	control	N032
SRR32060326	H2_TRUNCATED	77	-44	ENST00000480218.1	33	ENST00000480218	AC	control	N032
SRR32060326	H2_TRUNCATED	199	-152	ENST00000480484.5	47	ENST00000480484	AC	control	N032
SRR32060326	H2_TRUNCATED	56	-22	ENST00000483089.5	34	ENST00000483089	AC	control	N032
SRR32060326	H2_TRUNCATED	63	-58	ENST00000483213.6	5	ENST00000483213	AC	control	N032
SRR32060326	H1_TRUNCATED	27	-36	ENST00000485089.6	63	ENST00000485089	AC	control	N032
SRR32060326	H2_TRUNCATED	38	-13	ENST00000486585.2	25	ENST00000486585	AC	control	N032
SRR32060326	H2_TRUNCATED	68	-45	ENST00000488917.1	23	ENST00000488917	AC	control	N032
SRR32060326	H2_TRUNCATED	77	-44	ENST00000490507.1	33	ENST00000490507	AC	control	N032
SRR32060326	H2_TRUNCATED	30	-18	ENST00000490612.5	12	ENST00000490612	AC	control	N032
SRR32060326	H2_TRUNCATED	18	-14	ENST00000490633.1	4	ENST00000490633	AC	control	N032
SRR32060326	H2_TRUNCATED	47	-28	ENST00000491463.4	19	ENST00000491463	AC	control	N032
