sample	Transcript_ID_clean	Consensus_collapsed	Amyloid_Index_max	AmyloGram_Prob_max	AMYPred_Prob_max	n_protein_variants	gene_id	gene_name	biotype	strict_consensus_amyloid	TPM	strict_TPM_contribution	strict_weighted_positive_contribution
SRR32060215	ENST00000008440	Amyloid	0.4151793027273028	0.751499814396722	0.505212780403493	2	ENSG00000010072.16	SPRTN	protein_coding	True	1.82681	1.82681	0.7584537029813718
SRR32060215	ENST00000037869	Amyloid	4.7162606101025516e-05	0.684494971588514	0.9510097661802204	2	ENSG00000035141.10	FAM136A	protein_coding	True	1.04269	1.04269	4.917597957977649e-05
SRR32060215	ENST00000202017	Amyloid	0.12821198146935212	0.521911623242621	0.800056746267377	1	ENSG00000088356.6	PDRG1	protein_coding	True	7.05803	7.05803	0.904924028042679
SRR32060215	ENST00000215570	Amyloid	-0.29213643652557286	0.625736015291898	0.5523404288904321	1	ENSG00000099800.8	TIMM13	protein_coding	True	27.8229	27.8229	0.0
SRR32060215	ENST00000215886	Amyloid	-0.1503451395850805	0.728434712802824	0.646457399631312	1	ENSG00000100079.7	LGALS2	protein_coding	True	12.2785	12.2785	0.0
SRR32060215	ENST00000221859	Amyloid	-0.6720664897357406	0.671993872804282	0.6447814319016154	1	ENSG00000105258.9	POLR2I	protein_coding	True	63.5656	63.5656	0.0
SRR32060215	ENST00000222190	Amyloid	0.09557056837442537	0.754064931059366	0.5631769948249964	1	ENSG00000105583.11	WDR83OS	protein_coding	True	8.86287	8.86287	0.8470295440072119
SRR32060215	ENST00000225655	Amyloid	0.2969545488229583	0.739089985994397	0.5167005128184012	1	ENSG00000108518.8	PFN1	protein_coding	True	48.1044	48.1044	14.284820586895655
SRR32060215	ENST00000229307	Amyloid	-0.23686134735032205	0.802073179826161	0.6722739981533002	2	ENSG00000111704.11	NANOG	protein_coding	True	1.98227	1.98227	0.0
SRR32060215	ENST00000237889	Amyloid	-0.3579566475685958	0.714258505558859	0.6777200232489835	2	ENSG00000119013.10	NDUFB3	protein_coding	True	9.04374	9.04374	0.0
SRR32060215	ENST00000238892	Amyloid	-1.2679449810288808	0.703592034546605	0.7649765723940223	2	ENSG00000119878.7	CRIPT	protein_coding	True	8.35192	8.35192	0.0
SRR32060215	ENST00000242465	Amyloid	0.035102731473250756	0.751499814396722	0.6020884302732491	2	ENSG00000122862.6	SRGN	protein_coding	True	249.431	249.431	8.755709405534407
SRR32060215	ENST00000242719	Amyloid	-0.5843352110748414	0.711403832067427	0.5810352602382532	2	ENSG00000123091.5	RNF11	protein_coding	True	46.3952	46.3952	0.0
