Transcript_ID_clean	mean_strict_contribution_AC	mean_strict_contribution_TOL	mean_TPM_AC	mean_TPM_TOL	Amyloid_Index_max	gene_name	gene_id	biotype	delta_strict_contribution_AC_minus_TOL	delta_TPM_AC_minus_TOL	log2FC_AC_minus_TOL	FDR	baseMean_counts
ENST00000008440	1.508152284661951	1.9281180304611223	3.69397	4.7096977	0.4131875433191924	SPRTN	ENSG00000010072.16		-0.41996574579917123	-1.0157278	-1.3756013790766397	0.8441799177490186	12.863492
ENST00000010404		0.9231609829599354		2.50979	0.36782400267362636	MGST1	ENSG00000008394.13				-0.12923124631245964	0.9782928642240096	56.363625
ENST00000037869	-0.010833760523438131	-0.010072181552104082	4.59822	4.27498	-0.002356076943682317	FAM136A	ENSG00000035141.10		-0.0007615789713340485	0.3232398	1.759031856060028	0.8441799177490186	57.79376
ENST00000202017	1.4681072615140804	1.7707852892033489	11.784757	14.214408	0.12457679267880979	PDRG1	ENSG00000088356.6		-0.30267802768926844	-2.4296513	-0.5957349777221683	0.8441799177490186	81.36364
ENST00000215570	-11.457272014809524	-12.585722260984435	38.934624	42.769375	-0.2942694866419989	TIMM13	ENSG00000099800.8		1.1284502461749106	-3.8347511	-0.10734915733337402	0.9548352539178533	230.36577
ENST00000215886	-2.4011082268242294	-2.534996382085651	15.72755	16.604532	-0.15266893105077992	LGALS2	ENSG00000100079.7		0.13388815526142173	-0.8769827	-0.7789796799421311	0.8441799177490186	22.363636
ENST00000218432		-6.515910294037892		4.34226	-1.5005804507985174	PIN4	ENSG00000102309.15				0.39277920722961424	0.9126352965647616	11.258972
ENST00000221859	-37.064909935386275	-12.920799523131784	55.046852	19.189291	-0.6733338869824627	POLR2I	ENSG00000105258.9		-24.14411041225449	35.85756	1.6078165213267006	0.8441799177490186	62.255215
ENST00000221972		1.8751396866753223		7.2821	0.25749984688581395	CD79A	ENSG00000105369.10				-0.11051400999228145	0.9721486199779791	31.727272
ENST00000222190	3.0338724602838885	1.3144146886352688	33.331024	14.44055	0.09102248198624144	WDR83OS	ENSG00000105583.11		1.7194577716486197	18.890474	1.717584668650261	0.8441799177490186	65.86819
ENST00000225655	15.505201278872057	20.78393207594064	53.164574	73.63185	0.29164535574282097	PFN1	ENSG00000108518.8		-5.278730797068583	-20.467278	0.09915264447530081	0.9615230737601927	226.63637
ENST00000227135	-10.590095096811845		9.37203		-1.1299680864314499	SPA17	ENSG00000064199.7				-0.40453580220540397	0.8758627769227518	68.58709
ENST00000227667		11.316025075536972		25.3393	0.44658001626056815	APOC3	ENSG00000110245.12						
ENST00000228434	0.6421190129524589		1.06452		0.6032005148809593	CD69	ENSG00000110848.8				0.9002771735191345	0.8441799177490186	13.181818
ENST00000228799		0.8056365301439422		1.46365	0.5504297725911819	ITFG2	ENSG00000111203.13				-0.5720428586006165	0.8567653162481068	12.597451
ENST00000229307	-1.5838311927953008	-1.2770753877901688	6.6448927	6.623315	0.0022311158645553332	NANOG	ENSG00000111704.11		-0.306755805005132	0.021577835	0.0006677786509197148	0.9999417029510284	148.27785
ENST00000236192		-1.6837549309830915		1.7705	-0.9510053564451599	VAMP4	ENSG00000117533.15				-0.22584791183471697	0.9237487510237903	72.246956
ENST00000236850		1.0149227015474633		5.9667	0.17009782433175036	APOA1	ENSG00000118137.10						
ENST00000237014	0.7964276293005818	25.737153072808898	1.81979	58.807873	0.43764809500713503	TTR	ENSG00000118271.12		-24.940725443508317	-56.988083			
ENST00000237889	-11.59580659775377	-13.955786159380768	31.993793	38.505177	-0.3624392336401382	NDUFB3	ENSG00000119013.10		2.3599795616269983	-6.511383	0.04261305332183829	0.9892400834382223	66.086815
ENST00000238618		-0.21876347893363066		1.68653	-0.12971217808784105	ACYP1	ENSG00000119640.9						
ENST00000238892	-21.864678138555533	-26.285973828232823	17.24823	20.736027	-1.2676476113115833	CRIPT	ENSG00000119878.6		4.42129568967729	-3.4877968	-0.29046697616577166	0.8441799177490186	488.92282
ENST00000239852		1.1440021331559398		15.5283	0.07367207692628278	MTRF1	ENSG00000120662.16				-1.114247343937556	0.8441799177490186	33.61468
ENST00000240652	0.9034378223537841	0.46457041018110584	2.7670567	1.4228901	0.32649776247411255	IAPP	ENSG00000121351.8		0.4388674121726783	1.3441666	-0.04795154134432478	0.9827552514592697	14.735931
ENST00000242465	22.78026345278184	10.312567629451765	810.2424	366.79468	0.028115370335140423	SRGN	ENSG00000122862.5		12.467695823330073	443.4477	1.0263130187988274	0.8441799177490186	4927.909
ENST00000242719	-35.606803970803995	-25.582241987611145	60.697098	43.60874	-0.5866310607129559	RNF11	ENSG00000123091.5		-10.02456198319285	17.088356	0.3530169645945236	0.8678373603533938	680.7273
ENST00000243924	65.64904194791917	46.83484091000586	119.97105	85.58884	0.5472073577954545	PI3	ENSG00000124102.5		18.814201037913314	34.38221	-0.06748404502868688	0.9878927885828118	185.0
ENST00000243997	-343.33950551049236	-267.43331167625485	350.08725	272.68927	-0.9807255355627127	ATP5F1E	ENSG00000124172.10		-75.90619383423751	77.39798	0.47287877400716205	0.8441799177490186	5074.1826
ENST00000244221	-12.734895137860214	-16.099528232772567	6.443803	8.146293	-1.9763012705051888	PAIP2B	ENSG00000124374.9		3.364633094912353	-1.7024899	-0.17743258476257306	0.9329577850894886	230.80714
ENST00000246551		-211.20572835901265		711.272	-0.2969408840478607	HCST	ENSG00000126264.10				-0.48551521301269496	0.8441799177490186	629.9182
ENST00000248566	-73.43771533712834	-96.92471221703602	26.719551	35.26505	-2.7484637642574725	SEM1	ENSG00000127922.10		23.48699687990768	-8.545498	-0.07105049292246468	0.9857963575681024	55.96785
ENST00000250101	-3.2524231369473693	-3.076928308722971	23.566399	22.2948	-0.13801103107802046	TXNDC17	ENSG00000129235.11		-0.17549482822439844	1.2715988	0.487454017003377	0.8441799177490186	233.50133
ENST00000252329	11.802727974386668	13.483295163651118	9.314076	10.640289	1.2671924767112965	PSMG3	ENSG00000157778.9		-1.6805671892644494	-1.3262129	-0.6046735843022666	0.8441799177490186	30.167757
ENST00000253054	-2.701473930158044		23.9357		-0.11286379720577411	GMFG	ENSG00000130755.13						
ENST00000254806	-39.31823525354713	-32.205972714615086	70.13073	57.4448	-0.5606420767178852	WBP2	ENSG00000132471.12		-7.112262538932043	12.685928	-0.34243221282959	0.8517910645602762	445.1756
ENST00000254998	3.521009128286339	2.6816698613730794	13.5062	10.286587	0.26069577179403564	NXT1	ENSG00000132661.4		0.8393392669132598	3.219613	-0.3344615300496421	0.901986885735953	44.727272
ENST00000256686		2.3350728375631435		1.96583	1.1878305219862766	TMEM106C	ENSG00000134291.12						
ENST00000257245	-23.695576961607586	-7.106253010460194	67.42078	20.219347	-0.3514580839111438	TIMM10	ENSG00000134809.9		-16.589323951147392	47.20143	0.7051873763402305	0.8602171585923287	88.19417
ENST00000257247	-0.7452132326494431		2.74392		-0.27158707571656815	AHNAK	ENSG00000124942.14						
ENST00000257627	-6.5907872400405685		4.60385		-1.4315816980560752	OCM2	ENSG00000135175.6						
ENST00000258111		0.9537090174859832		2.52191	0.3781693381509279	KCNMB4	ENSG00000135643.5				0.07133382161458357	0.9772395095107892	57.35129
ENST00000258301		-3.770476118256559		6.89435	-0.5468936288241505	STX6	ENSG00000135823.14				-0.01325360139211007	0.9954048567030573	141.69447
ENST00000258662	0.7001043230582151	1.247943402548679	4.8417425	8.630458	0.1445975931576318	NUDT15	ENSG00000136159.4		-0.547839079490464	-3.7887154	-0.9220783442258833	0.8441799177490186	47.461594
ENST00000259006	-181.64994132091522	-187.4538517996271	207.7957	214.435	-0.8741756426602233	LIMD2	ENSG00000136490.9		5.8039104787118845	-6.6392975	-0.043528938293457387	0.9679990539581712	3005.0483
