sample	Transcript_ID_clean	gene_id	gene_name	TPM	Amyloid_Index_max	strict_burden	strict_burden_rank_desc	Consensus_collapsed	n_protein_variants	Group	raw_Group	subject	time	batch
SRR32060276	ENST00000008440	ENSG00000010072.16	SPRTN	1.7259399890899658	0.4082740993089377	0.7046565945069836	30.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000238892	ENSG00000119878.7	CRIPT	15.088700294494629	-1.2676476113115833	-19.1271548861125	119.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000242719	ENSG00000123091.5	RNF11	46.008201599121094	-0.5866310607129559	-26.98984010558792	124.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000281950	ENSG00000152147.11	GEMIN6	20.50659942626953	-0.050913492967208075	-1.044062605670727	65.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000311672	ENSG00000173660.12	UQCRH	52.61320114135742	-1.872207484669723	-98.50282896928297	133.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000333610	ENSG00000183891.6	TTC32	12.180500030517578	-0.6209823790261908	-7.563875886679395	103.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000334351	ENSG00000189266.13	PNRC2	21.0851993560791	-1.518795248925298	-32.02410060465569	126.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000356442	ENSG00000115216.14	NRBP1	35.966400146484375	-2.0256192538552567	-72.85423262858127	132.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000362052	ENSG00000143420.19	ENSA	2.9583499431610107	-0.2753755653217751	-0.8146572880176045	61.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000366839	ENSG00000143742.14	SRP9	15.460700035095215	0.8031186167549457	12.416776026248808	10.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000367023	ENSG00000009790.15	TRAF3IP3	26.789499282836914	-0.22924394535761822	-6.141330509752618	99.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000367446	ENSG00000116747.13	RO60	14.597900390625	0.5920425194907315	8.642577726540358	12.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000368696	ENSG00000160678.12	S100A1	13.188899993896484	-0.36256626333948583	-4.781850188345215	93.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000368732	ENSG00000143546.10	S100A8	24.806100845336914	0.8370893895513756	20.76492381377294	7.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000368733	ENSG00000143546.10	S100A8	6799.240234375	0.8370893895513756	5691.5718572061205	1.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000368737	ENSG00000163221.9	S100A12	283.75299072265625	0.6391964347534347	181.3739000205463	3.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000368738	ENSG00000163220.11	S100A9	7065.47998046875	-0.34815292778808093	-2459.8675414282684	135.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000368780	ENSG00000159455.9	LCE2B	1.0415699481964111	0.844287022501965	0.8793839902902738	27.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000368921	ENSG00000213190.4	MLLT11	6.791669845581055	-0.7573686359215487	-5.1437977265772385	94.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000368935	ENSG00000143363.17	PRUNE1	1.7690099477767944	-0.05259277569273389	-0.09303714338163985	46.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000369115	ENSG00000143401.15	ANP32E	31.51289939880371	-4.597651394642916	-144.88532587015177	134.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000370022	ENSG00000134186.12	PRPF38B	1.8627899885177612	0.2595024859568969	0.48339863283597845	31.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000370645	ENSG00000174021.12	GNG5	118.44999694824219	-0.609747512231765	-72.22459096305083	131.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000370826	ENSG00000137955.16	RABGGTB	6.12244987487793	0.11747069712580054	0.7192084549196807	29.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000372244	ENSG00000126106.14	TMEM53	1.1712499856948853	0.3729625071630845	0.4368323311794913	34.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000372696	ENSG00000117010.17	ZNF684	10.116399765014648	-0.38995734283954137	-3.9449643714676728	89.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000373501	ENSG00000176261.16	ZBTB8OS	2.2175800800323486	-0.3543994951255606	-0.7859092607639647	59.0	Amyloid	1.0	TOL	chili	N132	BC	4
