Transcript_ID_clean	gene_name	gene_id	biotype	mean_TPM_AC	mean_TPM_TOL	mean_strict_contribution_AC	mean_strict_contribution_TOL	Amyloid_Index_max	n_samples_observed	analysis_set	delta_mean_strict_contribution_TOL_minus_AC	delta_mean_TPM_TOL_minus_AC
ENST00000397797	HBA1	ENSG00000206172.8	protein_coding	32939.953	38603.1	11008.208309981172	12900.777195460618	0.3341901879490056	8	all_BC_samples	1892.5688854794462	5663.1484
ENST00000368738	S100A9	ENSG00000163220.11	protein_coding	7514.4478	5471.628	-2616.1769012347563	-1939.2492587948514	-0.34815292778808093	9	all_BC_samples	676.927642439905	-2042.8198
ENST00000261267	LYZ	ENSG00000090382.7	protein_coding	1345.8538	1919.77	475.95351165500665	716.8890981663388	0.39889919460335677	7	all_BC_samples	240.9355865113322	573.91626
ENST00000549017	MYL6	ENSG00000092841.19	protein_coding	391.83923	49.65586	-268.63437882065364	-34.04271269235912	-0.6855729224196472	6	all_BC_samples	234.59166612829452	-342.18338
ENST00000509877	RPL37	ENSG00000145592.14	protein_coding	443.701	345.59027	-1006.0186383597917	-783.5687576294503	-2.267334638697303	8	all_BC_samples	222.44988073034142	-98.11072
ENST00000553981	SLIRP	ENSG00000119705.10	protein_coding	117.769	15.2295	-131.63671374724055	-17.022827362920466	-1.1177535419801867	2	all_BC_samples	114.61388638432008	-102.5395
ENST00000532556	RSF1	ENSG00000048649.14	protein_coding	71.3938	6.65178	-94.15528328438832	-5.6660976646379515	-0.8518167400601622	2	all_BC_samples	88.48918561975037	-64.74202
ENST00000634739	PPP1R12A	ENSG00000058272.19	protein_coding	217.278	198.7027	-233.04822899401773	-146.44140439317036	-0.4957073701327605	7	all_BC_samples	86.60682460084737	-18.575302
ENST00000646110	IKZF1	ENSG00000185811.21	protein_coding	60.4936	8.18607	-95.04780315522517	-12.861988350356551	-1.5712042567648183	4	all_BC_samples	82.18581480486861	-52.30753
ENST00000519742	CLU	ENSG00000120885.22	protein_coding	112.80215	290.636	52.04316962294182	134.08980319408562	0.46136682827259945	3	all_BC_samples	82.0466335711438	177.83383
ENST00000302312	AHSP	ENSG00000169877.10	protein_coding	314.38428	74.31564	-106.54596158438163	-25.185841774965887	-0.3389036148648012	8	all_BC_samples	81.36011980941575	-240.06863
ENST00000311672	UQCRH	ENSG00000173660.12	protein_coding	90.83943	46.98882	-167.02434827182074	-87.97281992787464	-1.8161426049719036	9	all_BC_samples	79.0515283439461	-43.850613
ENST00000243997	ATP5F1E	ENSG00000124172.10	protein_coding	350.08725	272.68927	-343.33950551049236	-267.43331167625485	-0.9807255355627127	8	all_BC_samples	75.90619383423751	-77.39798
ENST00000535212	CCDC91	ENSG00000123106.11	protein_coding	113.619	205.21326	-61.13417359747041	8.568246434770996	0.04175288897362996	4	all_BC_samples	69.7024200322414	91.59425
ENST00000261811	CYSTM1	ENSG00000120306.11	protein_coding	129.21548	55.34375	-115.7111433961354	-49.55976595370652	-0.8954898267591348	8	all_BC_samples	66.15137744242888	-73.871735
ENST00000620047	PPIA	ENSG00000196262.15	protein_coding	124.24745	28.855967	-83.38167768855206	-19.365054946706227	-0.671093638159069	7	all_BC_samples	64.01662274184584	-95.39149
ENST00000311534	ISCA1	ENSG00000135070.15	protein_coding	66.9672	21.243828	-78.84617307494446	-22.574667683707155	0.5753544137398926	8	all_BC_samples	56.271505391237305	-45.723373
